Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Reporting computing projects through structured abstracts: a quasi-experiment,Empirical Software Engineering,,16,2,10.1007/s10664-010-9139-3,David BudgenAndy J. BurnBarbara Kitchenham,2011,http://link.springer.com/article/10.1007/s10664-010-9139-3,Article
Studying the co-evolution of production and test code in open source and industrial developer test processes through repository mining,Empirical Software Engineering,,16,3,10.1007/s10664-010-9143-7,Andy ZaidmanBart Van RompaeyArie van DeursenSerge Demeyer,2011,http://link.springer.com/article/10.1007/s10664-010-9143-7,Article
The role of non-exact replications in software engineering experiments,Empirical Software Engineering,,16,3,10.1007/s10664-010-9141-9,Natalia JuristoSira Vegas,2011,http://link.springer.com/article/10.1007/s10664-010-9141-9,Article
The search for a research method for studying OSS process innovation,Empirical Software Engineering,,16,4,10.1007/s10664-011-9160-1,Lutz PrecheltChristopher Oezbek,2011,http://link.springer.com/article/10.1007/s10664-011-9160-1,Article
Using grounded theory to study the experience of software development,Empirical Software Engineering,,16,4,10.1007/s10664-010-9152-6,Steve AdolphWendy HallPhilippe Kruchten,2011,http://link.springer.com/article/10.1007/s10664-010-9152-6,Article
Using search-based algorithms for Ajax event sequence generation during testing,Empirical Software Engineering,,16,1,10.1007/s10664-010-9149-1,Alessandro MarchettoPaolo Tonella,2011,http://link.springer.com/article/10.1007/s10664-010-9149-1,Article
Using structural and textual information to capture feature coupling in object-oriented software,Empirical Software Engineering,,16,6,10.1007/s10664-011-9159-7,Meghan RevelleMalcom GethersDenys Poshyvanyk,2011,http://link.springer.com/article/10.1007/s10664-011-9159-7,Article
WCET analysis of modern processors using multi-criteria optimisation,Empirical Software Engineering,,16,1,10.1007/s10664-010-9133-9,Iain BateUsman Khan,2011,http://link.springer.com/article/10.1007/s10664-010-9133-9,Article
A permutation test based on regression error characteristic curves for software cost estimation models,Empirical Software Engineering,,17,02-Jan,10.1007/s10664-011-9177-5,Nikolaos MittasLefteris Angelis,2012,http://link.springer.com/article/10.1007/s10664-011-9177-5,Article
A qualitative human-centric evaluation of flexibility in middleware implementations,Empirical Software Engineering,,17,3,10.1007/s10664-011-9167-7,Renato MaiaRenato CerqueiraClarisse Sieckenius de SouzaTomíçs Guisasola-Gorham,2012,http://link.springer.com/article/10.1007/s10664-011-9167-7,Article
A replicated assessment and comparison of adaptation techniques for analogy-based effort estimation,Empirical Software Engineering,,17,02-Jan,10.1007/s10664-011-9176-6,Mohammad Azzeh,2012,http://link.springer.com/article/10.1007/s10664-011-9176-6,Article
An exploratory study of the impact of antipatterns on class change- and fault-proneness,Empirical Software Engineering,,17,3,10.1007/s10664-011-9171-y,Foutse KhomhMassimiliano Di PentaYann-Gaí‚l Guí©hí©neucGiuliano Antoniol,2012,http://link.springer.com/article/10.1007/s10664-011-9171-y,Article
Analyzing and mining a code search engine usage log,Empirical Software Engineering,,17,05-Apr,10.1007/s10664-010-9144-6,Sushil Krishna BajracharyaCristina Videira Lopes,2012,http://link.springer.com/article/10.1007/s10664-010-9144-6,Article
Clones: what is that smell?,Empirical Software Engineering,,17,05-Apr,10.1007/s10664-011-9195-3,Foyzur RahmanChristian BirdPremkumar Devanbu,2012,http://link.springer.com/article/10.1007/s10664-011-9195-3,Article
Computer-mediated communication to support distributed requirements elicitations and negotiations tasks,Empirical Software Engineering,,17,6,10.1007/s10664-011-9179-3,Fabio CalefatoDaniela DamianFilippo Lanubile,2012,http://link.springer.com/article/10.1007/s10664-011-9179-3,Article
Developing a grounded theory to explain the practices of self-organizing Agile teams,Empirical Software Engineering,,17,6,10.1007/s10664-011-9161-0,Rashina HodaJames NobleStuart Marshall,2012,http://link.springer.com/article/10.1007/s10664-011-9161-0,Article
Evaluating defect prediction approaches: a benchmark and an extensive comparison,Empirical Software Engineering,,17,05-Apr,10.1007/s10664-011-9173-9,Marco Däó»AmbrosMichele LanzaRomain Robbes,2012,http://link.springer.com/article/10.1007/s10664-011-9173-9,Article
Introduction to the Special Issue on Mining Software Repositories in 2010,Empirical Software Engineering,,17,05-Apr,10.1007/s10664-012-9206-z,Jim WhiteheadThomas Zimmermann,2012,http://link.springer.com/article/10.1007/s10664-012-9206-z,Article
Introduction to the special issue on software repository mining in 2009,Empirical Software Engineering,,17,05-Apr,10.1007/s10664-011-9188-2,Michael GodfreyJim Whitehead,2012,http://link.springer.com/article/10.1007/s10664-011-9188-2,Article
Location pairs: a test coverage metric for shared-memory concurrent programs,Empirical Software Engineering,,17,3,10.1007/s10664-011-9166-8,Serdar TasiranM. Erkan KeremoÛôluKivaní_ MuÅôlu,2012,http://link.springer.com/article/10.1007/s10664-011-9166-8,Article
On the dataset shift problem in software engineering prediction models,Empirical Software Engineering,,17,02-Jan,10.1007/s10664-011-9182-8,Burak Turhan,2012,http://link.springer.com/article/10.1007/s10664-011-9182-8,Article
On the reproducibility of empirical software engineering studies based on data retrieved from development repositories,Empirical Software Engineering,,17,02-Jan,10.1007/s10664-011-9181-9,Jesí_s M. Gonzíçlez-BarahonaGregorio Robles,2012,http://link.springer.com/article/10.1007/s10664-011-9181-9,Article
On the use of calling structure information to improve fault prediction,Empirical Software Engineering,,17,05-Apr,10.1007/s10664-011-9165-9,Yonghee ShinRobert M BellThomas J OstrandElaine J Weyuker,2012,http://link.springer.com/article/10.1007/s10664-011-9165-9,Article
Program comprehension of domain-specific and general-purpose languages: comparison using a family of experiments,Empirical Software Engineering,,17,3,10.1007/s10664-011-9172-x,TomaÅ_ KosarMarjan MernikJeffrey C. Carver,2012,http://link.springer.com/article/10.1007/s10664-011-9172-x,Article
Refining code ownership with synchronous changes,Empirical Software Engineering,,17,05-Apr,10.1007/s10664-010-9145-5,Lile Palma HattoriMichele LanzaRomain Robbes,2012,http://link.springer.com/article/10.1007/s10664-010-9145-5,Article
Replication of an experiment on linguistic tool support for consolidation of requirements from multiple sources,Empirical Software Engineering,,17,3,10.1007/s10664-011-9174-8,Krzysztof WnukMartin Hí_stBjí_rn Regnell,2012,http://link.springer.com/article/10.1007/s10664-011-9174-8,Article
Software development effort prediction of industrial projects applying a general regression neural network,Empirical Software Engineering,,17,6,10.1007/s10664-011-9192-6,Cuauhtemoc Lopez-MartinClaudia IsazaArturo Chavoya,2012,http://link.springer.com/article/10.1007/s10664-011-9192-6,Article
Special issue on repeatable results in software engineering prediction,Empirical Software Engineering,,17,02-Jan,10.1007/s10664-011-9193-5,Tim MenziesMartin Shepperd,2012,http://link.springer.com/article/10.1007/s10664-011-9193-5,Article
Strengths and barriers behind the successful agile deploymentäóîinsights from the three software intensive companies in Finland,Empirical Software Engineering,,17,6,10.1007/s10664-011-9185-5,Minna PikkarainenOuti SaloRaija KuuselaPekka Abrahamsson,2012,http://link.springer.com/article/10.1007/s10664-011-9185-5,Article
The ability of object-oriented metrics to predict change-proneness: a meta-analysis,Empirical Software Engineering,,17,3,10.1007/s10664-011-9170-z,Hongmin LuYuming ZhouBaowen XuHareton LeungLin Chen,2012,http://link.springer.com/article/10.1007/s10664-011-9170-z,Article
The difficulties of building generic reliability models for software,Empirical Software Engineering,,17,02-Jan,10.1007/s10664-011-9184-6,Brendan Murphy,2012,http://link.springer.com/article/10.1007/s10664-011-9184-6,Article
The evolution of Java build systems,Empirical Software Engineering,,17,05-Apr,10.1007/s10664-011-9169-5,Shane McIntoshBram AdamsAhmed E. Hassan,2012,http://link.springer.com/article/10.1007/s10664-011-9169-5,Article
Time variance and defect prediction in software projects,Empirical Software Engineering,,17,05-Apr,10.1007/s10664-011-9180-x,Jayalath EkanayakeJonas TappoletHarald C. GallAbraham Bernstein,2012,http://link.springer.com/article/10.1007/s10664-011-9180-x,Article
Validity and reliability of evaluation procedures in comparative studies of effort prediction models,Empirical Software Engineering,,17,02-Jan,10.1007/s10664-011-9183-7,Ingunn MyrtveitErik Stensrud,2012,http://link.springer.com/article/10.1007/s10664-011-9183-7,Article
What should developers be aware of? An empirical study on the directives of API documentation,Empirical Software Engineering,,17,6,10.1007/s10664-011-9186-4,Martin MonperrusMichael EichbergElif TekesMira Mezini,2012,http://link.springer.com/article/10.1007/s10664-011-9186-4,Article
A study of methods for textual satisfaction assessment,Empirical Software Engineering,,18,1,10.1007/s10664-012-9198-8,Elizabeth Ashlee HolbrookJane Huffman HayesAlex DekhtyarWenbin Li,2013,http://link.springer.com/article/10.1007/s10664-012-9198-8,Article
Adoption and use of Java generics,Empirical Software Engineering,,18,6,10.1007/s10664-012-9236-6,Chris ParninChristian BirdEmerson Murphy-Hill,2013,http://link.springer.com/article/10.1007/s10664-012-9236-6,Article
All complaints are not created equal: text analysis of open source software defect reports,Empirical Software Engineering,,18,1,10.1007/s10664-012-9197-9,Uzma Raja,2013,http://link.springer.com/article/10.1007/s10664-012-9197-9,Article
An empirical study of the state of the practice and acceptance of model-driven engineering in four industrial cases,Empirical Software Engineering,,18,1,10.1007/s10664-012-9196-x,Parastoo MohagheghiWasif GilaniAlin StefanescuMiguel A. Fernandez,2013,http://link.springer.com/article/10.1007/s10664-012-9196-x,Article
Automated topic naming,Empirical Software Engineering,,18,6,10.1007/s10664-012-9209-9,Abram HindleNeil A. ErnstMichael W. GodfreyJohn Mylopoulos,2013,http://link.springer.com/article/10.1007/s10664-012-9209-9,Article
Can traditional fault prediction models be used for vulnerability prediction?,Empirical Software Engineering,,18,1,10.1007/s10664-011-9190-8,Yonghee ShinLaurie Williams,2013,http://link.springer.com/article/10.1007/s10664-011-9190-8,Article
Do background colors improve program comprehension in the #ifdef hell?,Empirical Software Engineering,,18,4,10.1007/s10664-012-9208-x,Janet FeigenspanChristian Kí_stnerSven ApelJí_rg LiebigMichael SchulzeRaimund DachseltMaria PapendieckThomas LeichGunter Saake,2013,http://link.springer.com/article/10.1007/s10664-012-9208-x,Article
Effort estimation of FLOSS projects: a study of the Linux kernel,Empirical Software Engineering,,18,1,10.1007/s10664-011-9191-7,Andrea CapiluppiDaniel Izquierdo-Cortíçzar,2013,http://link.springer.com/article/10.1007/s10664-011-9191-7,Article
GPGPU test suite minimisation: search based software engineering performance improvement using graphics cards,Empirical Software Engineering,,18,3,10.1007/s10664-013-9247-y,Shin YooMark HarmanShmuel Ur,2013,http://link.springer.com/article/10.1007/s10664-013-9247-y,Article
How (and why) developers use the dynamic features of programming languages: the case of smalltalk,Empirical Software Engineering,,18,6,10.1007/s10664-012-9203-2,Oscar Callaí_Romain Robbesí_ric TanterDavid Rí_thlisberger,2013,http://link.springer.com/article/10.1007/s10664-012-9203-2,Article
How do open source communities blog?,Empirical Software Engineering,,18,6,10.1007/s10664-012-9211-2,Dennis PaganoWalid Maalej,2013,http://link.springer.com/article/10.1007/s10664-012-9211-2,Article
Integrating conceptual and logical couplings for change impact analysis in software,Empirical Software Engineering,,18,5,10.1007/s10664-012-9233-9,Huzefa KagdiMalcom GethersDenys Poshyvanyk,2013,http://link.springer.com/article/10.1007/s10664-012-9233-9,Article
"Integrating information retrieval, execution and link analysis algorithms to improve feature location in software",Empirical Software Engineering,,18,2,10.1007/s10664-011-9194-4,Bogdan DitMeghan RevelleDenys Poshyvanyk,2013,http://link.springer.com/article/10.1007/s10664-011-9194-4,Article
Introduction to the special issue on mining software repositories,Empirical Software Engineering,,18,6,10.1007/s10664-013-9273-9,Tao XieThomas ZimmermannArie van Deursen,2013,http://link.springer.com/article/10.1007/s10664-013-9273-9,Article
Introduction to the special issue on search based software engineering,Empirical Software Engineering,,18,3,10.1007/s10664-013-9257-9,Mel íñ Cinní©ideMyra B. Cohen,2013,http://link.springer.com/article/10.1007/s10664-013-9257-9,Article
Kernel methods for software effort estimation,Empirical Software Engineering,,18,1,10.1007/s10664-011-9189-1,Ekrem KocaguneliTim MenziesJacky W. Keung,2013,http://link.springer.com/article/10.1007/s10664-011-9189-1,Article
On the impact of software evolution on software clustering,Empirical Software Engineering,,18,5,10.1007/s10664-012-9225-9,Fabian BeckStephan Diehl,2013,http://link.springer.com/article/10.1007/s10664-012-9225-9,Article
On the value of outlier elimination on software effort estimation research,Empirical Software Engineering,,18,4,10.1007/s10664-012-9207-y,Yeong-Seok SeoDoo-Hwan Bae,2013,http://link.springer.com/article/10.1007/s10664-012-9207-y,Article
Parameter tuning or default values? An empirical investigation in search-based software engineering,Empirical Software Engineering,,18,3,10.1007/s10664-013-9249-9,Andrea ArcuriGordon Fraser,2013,http://link.springer.com/article/10.1007/s10664-013-9249-9,Article
Performance and reliability prediction for evolving service-oriented software systems,Empirical Software Engineering,,18,4,10.1007/s10664-012-9213-0,Heiko KoziolekBastian SchlichSteffen BeckerMichael Hauck,2013,http://link.springer.com/article/10.1007/s10664-012-9213-0,Article
Predicting the Flow of Defect Correction Effort using a Bayesian Network Model,Empirical Software Engineering,,18,3,10.1007/s10664-011-9175-7,Thomas SchulzÅÅukasz RadliÅ‹skiThomas GorgesWolfgang Rosenstiel,2013,http://link.springer.com/article/10.1007/s10664-011-9175-7,Article
Predictive models in software engineering,Empirical Software Engineering,,18,3,10.1007/s10664-013-9252-1,Tim MenziesGunes Koru,2013,http://link.springer.com/article/10.1007/s10664-013-9252-1,Article
Preface to the special issue on program comprehension,Empirical Software Engineering,,18,2,10.1007/s10664-012-9212-1,Giuliano AntoniolKeith B. Gallagher,2013,http://link.springer.com/article/10.1007/s10664-012-9212-1,Article
Software Bertillonage,Empirical Software Engineering,,18,6,10.1007/s10664-012-9199-7,Julius DaviesDaniel M. GermanMichael W. GodfreyAbram Hindle,2013,http://link.springer.com/article/10.1007/s10664-012-9199-7,Article
Software model synthesis using satisfiability solvers,Empirical Software Engineering,,18,4,10.1007/s10664-012-9222-z,Marijn J. H. HeuleSicco Verwer,2013,http://link.springer.com/article/10.1007/s10664-012-9222-z,Article
STAMINA: a competition to encourage the development and assessment of software model inference techniques,Empirical Software Engineering,,18,4,10.1007/s10664-012-9210-3,Neil WalkinshawBernard LambeauChristophe DamasKirill BogdanovPierre Dupont,2013,http://link.springer.com/article/10.1007/s10664-012-9210-3,Article
Studying re-opened bugs in open source software,Empirical Software Engineering,,18,5,10.1007/s10664-012-9228-6,Emad ShihabAkinori IharaYasutaka KameiWalid M. IbrahimMasao OhiraBram AdamsAhmed E. HassanKen-ichi Matsumoto,2013,http://link.springer.com/article/10.1007/s10664-012-9228-6,Article
Studying the impact of social interactions on software quality,Empirical Software Engineering,,18,2,10.1007/s10664-012-9205-0,Nicolas BettenburgAhmed E. Hassan,2013,http://link.springer.com/article/10.1007/s10664-012-9205-0,Article
The impact of identifier style on effort and comprehension,Empirical Software Engineering,,18,2,10.1007/s10664-012-9201-4,Dave BinkleyMarcia DavisDawn LawrieJonathan I. MaleticChristopher MorrellBonita Sharif,2013,http://link.springer.com/article/10.1007/s10664-012-9201-4,Article
The limited impact of individual developer data on software defect prediction,Empirical Software Engineering,,18,3,10.1007/s10664-011-9178-4,Robert M. BellThomas J. OstrandElaine J. Weyuker,2013,http://link.springer.com/article/10.1007/s10664-011-9178-4,Article
Understanding Ajax applications by connecting client and server-side execution traces,Empirical Software Engineering,,18,2,10.1007/s10664-012-9200-5,Andy ZaidmanNick MatthijssenMargaret-Anne StoreyArie van Deursen,2013,http://link.springer.com/article/10.1007/s10664-012-9200-5,Article
Understanding privacy policies,Empirical Software Engineering,,18,2,10.1007/s10664-012-9204-1,Ralf Lí_mmelEkaterina Pek,2013,http://link.springer.com/article/10.1007/s10664-012-9204-1,Article
Using error abstraction and classification to improve requirement quality: conclusions from a family of four empirical studies,Empirical Software Engineering,,18,4,10.1007/s10664-012-9202-3,Gursimran S. WaliaJeffrey C. Carver,2013,http://link.springer.com/article/10.1007/s10664-012-9202-3,Article
Using structural and semantic measures to improve software modularization,Empirical Software Engineering,,18,5,10.1007/s10664-012-9226-8,Gabriele BavotaAndrea De LuciaAndrian MarcusRocco Oliveto,2013,http://link.springer.com/article/10.1007/s10664-012-9226-8,Article
Using tabu search to configure support vector regression for effort estimation,Empirical Software Engineering,,18,3,10.1007/s10664-011-9187-3,A. CorazzaS. Di MartinoF. FerrucciC. GravinoF. SarroE. Mendes,2013,http://link.springer.com/article/10.1007/s10664-011-9187-3,Article
What your plug-in test suites really test: an integration perspective on test suite understanding,Empirical Software Engineering,,18,5,10.1007/s10664-012-9235-7,Michaela GreilerArie van Deursen,2013,http://link.springer.com/article/10.1007/s10664-012-9235-7,Article
A case study on bypass testing of web applications,Empirical Software Engineering,,19,1,10.1007/s10664-012-9216-x,Jeff OffuttVasileios PapadimitriouUpsorn Praphamontripong,2014,http://link.springer.com/article/10.1007/s10664-012-9216-x,Article
A family of experiments to assess the effectiveness and efficiency of source code obfuscation techniques,Empirical Software Engineering,,19,4,10.1007/s10664-013-9248-x,Mariano CeccatoMassimiliano Di PentaPaolo FalcarinFilippo RiccaMarco TorchianoPaolo Tonella,2014,http://link.springer.com/article/10.1007/s10664-013-9248-x,Article
A flexible method to estimate the software development effort based on the classification of projects and localization of comparisons,Empirical Software Engineering,,19,4,10.1007/s10664-013-9241-4,Vahid Khatibi BardsiriDayang Norhayati Abang JawawiSiti Zaiton Mohd HashimElham Khatibi,2014,http://link.springer.com/article/10.1007/s10664-013-9241-4,Article
A replicated quasi-experimental study on the influence of personality and team climate in software development,Empirical Software Engineering,,19,2,10.1007/s10664-013-9265-9,Marta N. Gí_mezSilvia T. Acuí±a,2014,http://link.springer.com/article/10.1007/s10664-013-9265-9,Article
A successful application of a Test-Driven Development strategy in the industrial environment,Empirical Software Engineering,,19,3,10.1007/s10664-013-9281-9,Roberto Latorre,2014,http://link.springer.com/article/10.1007/s10664-013-9281-9,Article
Agile vs. structured distributed software development: A case study,Empirical Software Engineering,,19,5,10.1007/s10664-013-9271-y,Hans-Christian EstlerMartin NordioCarlo A. FuriaBertrand MeyerJohannes Schneider,2014,http://link.springer.com/article/10.1007/s10664-013-9271-y,Article
An empirical study of control logic specifications for programmable logic controllers,Empirical Software Engineering,,19,3,10.1007/s10664-012-9232-x,Oscar LjungkrantzKnut íƒkessonMartin FabianAmir Hossein Ebrahimi,2014,http://link.springer.com/article/10.1007/s10664-012-9232-x,Article
An empirical study of identifier splitting techniques,Empirical Software Engineering,,19,6,10.1007/s10664-013-9261-0,Emily HillDavid BinkleyDawn LawrieLori PollockK. Vijay-Shanker,2014,http://link.springer.com/article/10.1007/s10664-013-9261-0,Article
An empirical study on the impact of static typing on software maintainability,Empirical Software Engineering,,19,5,10.1007/s10664-013-9289-1,Stefan HanenbergSebastian KleinschmagerRomain Robbesí_ric TanterAndreas Stefik,2014,http://link.springer.com/article/10.1007/s10664-013-9289-1,Article
An empirically based terminology and taxonomy for global software engineering,Empirical Software Engineering,,19,1,10.1007/s10664-012-9217-9,Darja ÅæmiteClaes WohlinZane GalviÅÊaRafael Prikladnicki,2014,http://link.springer.com/article/10.1007/s10664-012-9217-9,Article
An evaluation of the statistical convertibility of Function Points into COSMIC Function Points,Empirical Software Engineering,,19,4,10.1007/s10664-013-9246-z,Luigi Lavazza,2014,http://link.springer.com/article/10.1007/s10664-013-9246-z,Article
An experimental evaluation of the importance of randomness in hill climbing searches applied to software engineering problems,Empirical Software Engineering,,19,5,10.1007/s10664-013-9294-4,Míçrcio de O. Barros,2014,http://link.springer.com/article/10.1007/s10664-013-9294-4,Article
An experimental investigation on the effects of context on source code identifiers splitting and expansion,Empirical Software Engineering,,19,6,10.1007/s10664-013-9260-1,Latifa GuerroujMassimiliano Di PentaYann-Gaí‚l Guí©hí©neucGiuliano Antoniol,2014,http://link.springer.com/article/10.1007/s10664-013-9260-1,Article
An industrial study of applying input space partitioning to test financial calculation engines,Empirical Software Engineering,,19,3,10.1007/s10664-012-9229-5,Jeff OffuttChandra Alluri,2014,http://link.springer.com/article/10.1007/s10664-012-9229-5,Article
Are test cases needed? Replicated comparison between exploratory and test-case-based software testing,Empirical Software Engineering,,19,2,10.1007/s10664-013-9266-8,Juha ItkonenMika V. Mí_ntylí_,2014,http://link.springer.com/article/10.1007/s10664-013-9266-8,Article
Assessing the capability of code smells to explain maintenance problems: an empirical study combining quantitative and qualitative data,Empirical Software Engineering,,19,4,10.1007/s10664-013-9250-3,Aiko Yamashita,2014,http://link.springer.com/article/10.1007/s10664-013-9250-3,Article
Automating extract class refactoring: an improved method and its evaluation,Empirical Software Engineering,,19,6,10.1007/s10664-013-9256-x,Gabriele BavotaAndrea De LuciaAndrian MarcusRocco Oliveto,2014,http://link.springer.com/article/10.1007/s10664-013-9256-x,Article
AutoRELAX: automatically RELAXing a goal model to address uncertainty,Empirical Software Engineering,,19,5,10.1007/s10664-014-9305-0,Erik M. FredericksByron DeVriesBetty H. C. Cheng,2014,http://link.springer.com/article/10.1007/s10664-014-9305-0,Article
Bug characteristics in open source software,Empirical Software Engineering,,19,6,10.1007/s10664-013-9258-8,Lin TanChen LiuZhenmin LiXuanhui WangYuanyuan ZhouChengxiang Zhai,2014,http://link.springer.com/article/10.1007/s10664-013-9258-8,Article
Challenges and industry practices for managing software variability in small and medium sized enterprises,Empirical Software Engineering,,19,4,10.1007/s10664-013-9253-0,Tuomas IhmeMinna PikkarainenSusanna TeppolaJukka Kí_í_rií_inenOlivier Biot,2014,http://link.springer.com/article/10.1007/s10664-013-9253-0,Article
Challenges and practices in aligning requirements with verification and validation: a case study of six companies,Empirical Software Engineering,,19,6,10.1007/s10664-013-9263-y,Elizabeth BjarnasonPer RunesonMarkus BorgMichael UnterkalmsteinerEmelie Engstrí_mBjí_rn RegnellGiedre SabaliauskaiteAnnabella LoconsoleTony GorschekRobert Feldt,2014,http://link.springer.com/article/10.1007/s10664-013-9263-y,Article
Comprehensibility of UML-based software product line specifications,Empirical Software Engineering,,19,3,10.1007/s10664-012-9234-8,Iris Reinhartz-BergerArnon Sturm,2014,http://link.springer.com/article/10.1007/s10664-012-9234-8,Article
Conducting quantitative software engineering studies with Alitheia Core,Empirical Software Engineering,,19,4,10.1007/s10664-013-9242-3,Georgios GousiosDiomidis Spinellis,2014,http://link.springer.com/article/10.1007/s10664-013-9242-3,Article
Configuring latent Dirichlet allocation based feature location,Empirical Software Engineering,,19,3,10.1007/s10664-012-9224-x,Lauren R. BiggersCecylia BocovichRiley CapshawBrian P. EddyLetha H. EtzkornNicholas A. Kraft,2014,http://link.springer.com/article/10.1007/s10664-012-9224-x,Article
Contributions of model checking and CoFI methodology to the development of space embedded software,Empirical Software Engineering,,19,1,10.1007/s10664-012-9215-y,Rodrigo Pastl PontesPaulo Claudino Ví©rasAna Maria AmbrosioEmí_lia Villani,2014,http://link.springer.com/article/10.1007/s10664-012-9215-y,Article
Correlations between bugginess and time-based commit characteristics,Empirical Software Engineering,,19,4,10.1007/s10664-013-9245-0,Jon EyolfsonLin TanPatrick Lam,2014,http://link.springer.com/article/10.1007/s10664-013-9245-0,Article
Data collection in global software engineering research: learning from past experience,Empirical Software Engineering,,19,4,10.1007/s10664-012-9240-x,Rafael PrikladnickiAlexander BodenGabriela AvramCleidson R. B. de SouzaVolker Wulf,2014,http://link.springer.com/article/10.1007/s10664-012-9240-x,Article
