Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
The Effectiveness of Test Coverage Criteria for Relational Database Schema Integrity Constraints,P. Mcminn; C. J. Wright; G. M. Kapfhammer,"University of Sheffield, Sheffield, UK",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,25,1,1,49,,1049-331X;1049331X,,10.1145/2818639,,,Software testing;automatic test data generation;coverage criteria;integrity constraints;mutation analysis;relational database schemas;schema testing;search-based software engineering,,,,,5,,,,,,15-Dec,,ACM,ACM Journals & Magazines,,48
Does Automated Unit Test Generation Really Help Software Testers? A Controlled Empirical Study,G. Fraser; M. Staats; P. McMinn; A. Arcuri; F. Padberg,"University of Sheffield, Sheffield, UK",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,24,4,1,49,"<p>Work on automated test generation has produced several tools capable of generating test data which achieves high structural coverage over a program. In the absence of a specification, developers are expected to manually construct or verify the test oracle for each test input. Nevertheless, it is assumed that these generated tests ease the task of testing for the developer, as testing is reduced to checking the results of tests. While this assumption has persisted for decades, there has been no conclusive evidence to date confirming it. However, the limited adoption in industry indicates this assumption may not be correct, and calls into question the practical value of test generation tools. To investigate this issue, we performed two controlled experiments comparing a total of 97 subjects split between writing tests manually and writing tests with the aid of an automated unit test generation tool, E<scp>vo</scp>S<scp>uite</scp>. We found that, on one hand, tool support leads to clear improvements in commonly applied quality metrics such as code coverage (up to 300&percnt; increase). However, on the other hand, there was no measurable improvement in the number of bugs actually found by developers. Our results not only cast some doubt on how the research community evaluates test generation tools, but also point to improvements and future work necessary before automated test generation tools will be widely adopted by practitioners.</p>",1049-331X;1049331X,,10.1145/2699688,,,Unit testing;automated test generation;branch coverage;empirical software engineering,,,,,7,,,,,,15-Aug,,ACM,ACM Journals & Magazines,,48
Feasibility of Stepwise Design of Multitolerant Programs,A. Ebnenasir; S. S. Kulkarni,Michigan Technological University,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2011,21,1,1,49,"<p>The complexity of designing programs that simultaneously tolerate multiple classes of faults, called <i>multitolerant</i> programs, is in part due to the conflicting nature of the fault tolerance requirements that must be met by a multitolerant program when different types of faults occur. To facilitate the design of multitolerant programs, we present sound and (deterministically) complete algorithms for stepwise design of two families of multitolerant programs in a high atomicity program model, where a process can read and write all program variables in an atomic step. We illustrate that if one needs to design failsafe (respectively, nonmasking) fault tolerance for one class of faults and masking fault tolerance for another class of faults, then a multitolerant program can be designed in separate polynomial-time (in the state space of the fault-intolerant program) steps regardless of the order of addition. This result has a significant methodological implication in that designers need not be concerned about unknown fault tolerance requirements that may arise due to unanticipated types of faults. Further, we illustrate that if one needs to design failsafe fault tolerance for one class of faults and nonmasking fault tolerance for a different class of faults, then the resulting problem is NP-complete in program state space. This is a counterintuitive result in that designing failsafe and nonmasking fault tolerance for the same class of faults can be done in polynomial time. We also present sufficient conditions for polynomial-time design of <i>failsafe-nonmasking</i> multitolerance. Finally, we demonstrate the stepwise design of multitolerance for a stable disk storage system, a token ring network protocol and a repetitive agreement protocol that tolerates Byzantine and transient faults. Our automatic approach decreases the design time from days to a few hours for the token ring program that is our largest example with 200 million reachable states and 8 processes.- /p>",1049-331X;1049331X,,10.1145/2063239.2063240,,,Automatic addition of fault tolerance;multitolerance,,,,,3,,,,,,11-Dec,,ACM,ACM Journals & Magazines,,48
Control Explicit--Data Symbolic Model Checking,P. Bauch; V. Havel; J. Barnat,"Masaryk University, Brno, Botanicka, Czech Republic",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,2,1,48,"<p>Automatic verification of programs and computer systems with data nondeterminism (e.g., reading from user input) represents a significant and well-motivated challenge. The case of parallel programs is especially difficult, because then also the control flow nontrivially complicates the verification process. We apply the techniques of explicit-state model checking to account for the control aspects of a program to be verified and use <i>set-based reduction</i> of the data flow, thus handling the two sources of nondeterminism separately. We build the theory of set-based reduction using first-order formulae in the bit-vector theory to encode the sets of variable evaluations representing program data. These representations are tested for emptiness and equality (state matching) during the verification, and we harness modern satisfiability modulo theory solvers to implement these tests.</p> <p>We design two methods of implementing the state matching, one using quantifiers and one that is quantifier-free, and we provide both analytical and experimental comparisons. Further experiments evaluate the efficiency of the set-based reduction method, showing the classical, explicit approach to fail to scale with the size of data domains. Finally, we propose and evaluate two heuristics to decrease the number of expensive satisfiability queries, together yielding a 10-fold speedup.</p>",1049-331X;1049331X,,10.1145/2888393,,,Model checking;modular arithmetic;static analysis,,,,,,,,,,,16-May,,ACM,ACM Journals & Magazines,,47
Less is More: Estimating Probabilistic Rewards over Partial System Explorations,E. Pavese; V. Braberman; S. Uchitel,"Departamento de Computaci&#243;n, Universidad de Buenos Aires, CABA, Argentina",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,2,1,47,"<p>Model-based reliability estimation of systems can provide useful insights early in the development process. However, computational complexity of estimating metrics such as mean time to first failure (MTTFF), turnaround time (TAT), or other domain-based quantitative measures can be prohibitive both in time, space, and precision. In this article, we present an alternative to exhaustive model exploration, as in probabilistic model checking, and partial random exploration, as in statistical model checking. Our hypothesis is that a (carefully crafted) partial systematic exploration of a system model can provide better bounds for these quantitative model metrics at lower computation cost. We present a novel automated technique for metric estimation that combines simulation, invariant inference, and probabilistic model checking. Simulation produces a probabilistically relevant set of traces from which a state invariant is inferred. The invariant characterises a partial model, which is then exhaustively explored using probabilistic model checking. We report on experiments that suggest that metric estimation using this technique (for both fully probabilistic models and those exhibiting nondeterminism) can be more effective than (full-model) probabilistic and statistical model checking, especially for system models for which the events of interest are rare.</p>",1049-331X;1049331X,,10.1145/2890494,,,Quantitative modelling;estimation;model checking;partial verification;probability,,,,,,,,,,,16-May,,ACM,ACM Journals & Magazines,,46
A framework for the checking and refactoring of crosscutting concepts,M. Shonle; W. G. Griswold; S. Lerner,University of Texas at San Antonio,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2012,21,3,1,47,"<p>Programmers employ crosscutting concepts, such as design patterns and other programming idioms, when their design ideas cannot be efficiently or effectively modularized in the underlying programming language. As a result, implementations of these crosscutting concepts can be hard to change even when the code is well structured.</p> <p>In this article, we describe Arcum, a system that supports the modular maintenance of crosscutting concepts. Arcum can be used to both check essential constraints of crosscutting concepts and to substitute crosscutting concept implementations with alternative implementations. Arcum is complementary to existing refactoring systems that focus on meaning-preserving program transformations at the programming-language-semantics level, because Arcum focuses on transformations at the conceptual level.</p> <p>We present the underpinnings of the Arcum approach and show how Arcum can be used to address several classical software engineering problems.</p>",1049-331X;1049331X,,10.1145/2211616.2211618,,,Design patterns;refactoring,,,,,,,,,,,12-Jun,,ACM,ACM Journals & Magazines,,46
Weak Alphabet Merging of Partial Behavior Models,D. Fischbein; N. Däó»Ippolito; G. Brunet; M. Chechik; S. Uchitel,Imperial College London,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2012,21,2,1,47,"<p>Constructing comprehensive operational models of intended system behavior is a complex and costly task, which can be mitigated by the construction of partial behavior models, providing early feedback and subsequently elaborating them iteratively. However, how should partial behavior models with different viewpoints covering different aspects of behavior be composed? How should partial models of component instances of the same type be put together? In this article, we propose <i>model merging</i> of modal transition systems (MTSs) as a solution to these questions. MTS models are a natural extension of labelled transition systems that support explicit modeling of what is currently unknown about system behavior. We formally define model merging based on weak alphabet refinement, which guarantees property preservation, and show that merging consistent models is a process that should result in a minimal common weak alphabet refinement (MCR). In this article, we provide theoretical results and algorithms that support such a process. Finally, because in practice MTS merging is likely to be combined with other operations over MTSs such as parallel composition, we also study the algebraic properties of merging and apply these, together with the algorithms that support MTS merging, in a case study.</p>",1049-331X;1049331X,,10.1145/2089116.2089119,,,MTS;merge;partial behavior models,,,,,4,,,,,,12-Mar,,ACM,ACM Journals & Magazines,,46
When and How to Use Multilevel Modelling,J. D. Lara; E. Guerra; J. S. Cuadrado,"Universidad Aut&#243;noma de Madrid, Madrid, Spain",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2014,24,2,1,46,"<p>Model-Driven Engineering (MDE) promotes models as the primary artefacts in the software development process, from which code for the final application is derived. Standard approaches to MDE (like those based on MOF or EMF) advocate a two-level metamodelling setting where Domain-Specific Modelling Languages (DSMLs) are defined through a metamodel that is instantiated to build models at the metalevel below.</p> <p><i>Multilevel modelling</i> (also called <i>deep metamodelling</i>) extends the standard approach to metamodelling by enabling modelling at an arbitrary number of metalevels, not necessarily two. Proposers of multilevel modelling claim this leads to simpler model descriptions in some situations, although its applicability has been scarcely evaluated. Thus, practitioners may find it difficult to discern when to use it and how to implement multilevel solutions in practice.</p> <p>In this article, we discuss those situations where the use of multilevel modelling is beneficial, and identify recurring patterns and idioms. Moreover, in order to assess how often the identified patterns arise in practice, we have analysed a wide range of existing two-level DSMLs from different sources and domains, to detect when their elements could be rearranged in more than two metalevels. The results show this scenario is not uncommon, while in some application domains (like software architecture and enterprise/process modelling) pervasive, with a high average number of pattern occurrences per metamodel.</p>",1049-331X;1049331X,,10.1145/2685615,,,Model-driven engineering;domain-specific modelling languages;metamodelling;metamodelling patterns;multilevel modelling,,,,,4,,,,,,14-Dec,,ACM,ACM Journals & Magazines,,45
A logical verification methodology for service-oriented computing,A. Fantechi; S. Gnesi; A. Lapadula; F. Mazzanti; R. Pugliese; F. Tiezzi,"Universit&#224; degli Studi di Firenze, Italy",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2012,21,3,1,46,"<p>We introduce a logical verification methodology for checking behavioral properties of service-oriented computing systems. Service properties are described by means of SocL, a branching-time temporal logic that we have specifically designed for expressing in an effective way distinctive aspects of services, such as, acceptance of a request, provision of a response, correlation among service requests and responses, etc. Our approach allows service properties to be expressed in such a way that they can be independent of service domains and specifications. We show an instantiation of our general methodology that uses the formal language COWS to conveniently specify services and the expressly developed software tool CMC to assist the user in the task of verifying SocL formulas over service specifications. We demonstrate the feasibility and effectiveness of our methodology by means of the specification and analysis of a case study in the automotive domain.</p>",1049-331X;1049331X,,10.1145/2211616.2211619,,,Service-oriented computing;Web services;formal methods;model checking;process calculi;temporal logic,,,,,,,,,,,12-Jun,,ACM,ACM Journals & Magazines,,45
Enabledness-based program abstractions for behavior validation,G. D. Caso; V. Braberman; D. Garbervetsky; S. Uchitel,Universidad de Buenos Aires,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,3,1,46,"<p>Code artifacts that have nontrivial requirements with respect to the ordering in which their methods or procedures ought to be called are common and appear, for instance, in the form of API implementations and objects. This work addresses the problem of validating if API implementations provide their intended behavior when descriptions of this behavior are informal, partial, or nonexistent. The proposed approach addresses this problem by generating abstract behavior models which resemble typestates. These models are statically computed and encode all admissible sequences of method calls. The level of abstraction at which such models are constructed has shown to be useful for validating code artifacts and identifying findings which led to the discovery of bugs, adjustment of the requirements expected by the engineer to the requirements implicit in the code, and the improvement of available documentation.</p>",1049-331X;1049331X,,10.1145/2491509.2491519,,,Source-code validation;enabledness abstractions,,,,,1,,,,,,13-Jul,,ACM,ACM Journals & Magazines,,45
