Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,page_num
Efficient Consistency Measurement Based on Behavioral Profiles of Process Models,M. Weidlich; J. Mendling; M. Weske,"Hasso Plattner Institute, Potsdam",IEEE Transactions on Software Engineering,20110527,2011,37,3,410,429,"Engineering of process-driven business applications can be supported by process modeling efforts in order to bridge the gap between business requirements and system specifications. However, diverging purposes of business process modeling initiatives have led to significant problems in aligning related models at different abstract levels and different perspectives. Checking the consistency of such corresponding models is a major challenge for process modeling theory and practice. In this paper, we take the inappropriateness of existing strict notions of behavioral equivalence as a starting point. Our contribution is a concept called behavioral profile that captures the essential behavioral constraints of a process model. We show that these profiles can be computed efficiently, i.e., in cubic time for sound free-choice Petri nets w.r.t. their number of places and transitions. We use behavioral profiles for the definition of a formal notion of consistency which is less sensitive to model projections than common criteria of behavioral equivalence and allows for quantifying deviation in a metric way. The derivation of behavioral profiles and the calculation of a degree of consistency have been implemented to demonstrate the applicability of our approach. We also report the findings from checking consistency between partially overlapping models of the SAP reference model.",0098-5589;00985589,,10.1109/TSE.2010.96,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5611557,Process model analysis;behavioral abstraction;consistency checking;consistency measures.;process model alignment,Analytical models;Business;Computational modeling;Petri nets;Semantics;Software;Unified modeling language,Petri nets;commerce;corporate modelling,Petri nets;SAP reference model;behavioral constraints;behavioral profiles;business process modeling;business requirements;efficient consistency measurement;process-driven business applications;system specifications,,51,,82,,,20101028,May-June 2011,,IEEE,IEEE Journals & Magazines,,19
A Flowchart Language for Quantum Programming,M. Ying; Y. Feng,"University of Technology, Sydney and Tsinghua University, Beijing",IEEE Transactions on Software Engineering,20110728,2011,37,4,466,485,"Several high-level quantum programming languages have been proposed in the previous research. In this paper, we define a low-level flowchart language for quantum programming, which can be used in implementation of high-level quantum languages and in design of quantum compilers. The formal semantics of the flowchart language is given, and the notion of correctness for programs written in this language is introduced. A structured quantum programming theorem is presented, which provides a technique of translating quantum flowchart programs into programs written in a high-level language, namely, a quantum extension of the while-language.",0098-5589;00985589,,10.1109/TSE.2010.94,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5611555,Quantum programming;flowchart language;structured programming.;while-language,Computer languages;Computers;Probabilistic logic;Programming;Quantum computing;Quantum mechanics;Semantics,flowcharting;formal languages;program compilers;program interpreters;programming language semantics;quantum computing,formal semantics;high level quantum programming language;low level flowchart language;quantum compiler design;quantum flowchart program translation;structured quantum programming theorem,,6,,34,,,20101028,July-Aug. 2011,,IEEE,IEEE Journals & Magazines,,19
Bristlecone: Language Support for Robust Software Applications,B. Demsky; S. Sundaramurthy,"University of California, Irvine, Irvine",IEEE Transactions on Software Engineering,20110128,2011,37,1,4,23,"We present Bristlecone, a programming language for robust software systems. Bristlecone applications have two components: a high-level organization specification that describes how the application's conceptual operations interact and a low-level operational specification that describes the sequence of instructions that comprise an individual conceptual operation. Bristlecone uses the high-level organization specification to recover the software system from an error to a consistent state and to reason how to safely continue the software system's execution after the error. We have implemented a compiler and runtime for Bristlecone. We have evaluated this implementation on three benchmark applications: a Web crawler, a Web server, and a multiroom chat server. We developed both a Bristlecone version and a Java version of each benchmark application. We used injected failures to evaluate the robustness of each version of the application. We found that the Bristlecone versions of the benchmark applications more successfully survived the injected failures. The Bristlecone compiler contains a static analysis that operates on the organization specification to generate a set of diagrams that graphically present the task interactions in the application. We have used the analysis to help understand the high-level structure of three Bristlecone applications: a game server, a Web server, and a chat server.",0098-5589;00985589,,10.1109/TSE.2010.27,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5416725,Software robustness.,,Java;program compilers;program diagnostics;programming languages;software fault tolerance;specification languages,Bristlecone compiler;Java version;Web crawler;Web server;benchmark applications;game server;high-level organization specification;high-level structure;injected failures;language support;low-level operational specification;multiroom chat server;programming language;robust software applications;robust software systems;runtime;static analysis;task interactions,,1,,48,,,20100218,Jan.-Feb. 2011,,IEEE,IEEE Journals & Magazines,,19
A Comparison of Tabular Expression-Based Testing Strategies,X. Feng; D. L. Parnas; T. H. Tse; T. O'Callaghan,"Div. of Sci. &amp; Technol., United Int. Coll., Zhuhai, China",IEEE Transactions on Software Engineering,20110929,2011,37,5,616,634,"Tabular expressions have been proposed as a notation to document mathematically precise but readable software specifications. One of the many roles of such documentation is to guide testers. This paper 1) explores the application of four testing strategies (the partition strategy, decision table-based testing, the basic meaningful impact strategy, and fault-based testing) to tabular expression-based specifications, and 2) compares the strategies on a mathematical basis through formal and precise definitions of the subsumption relationship. We also compare these strategies through experimental studies. These results will help researchers improve current methods and will enable testers to select appropriate testing strategies for tabular expression-based specifications.",0098-5589;00985589,,10.1109/TSE.2011.78,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5975175,Tabular expression;conditionally subsume.;subsume;test case constraint;unconditionally subsume,Documentation;Electronic mail;Redundancy;Software engineering;Software quality;Testing,formal specification;program testing;system documentation,decision table-based testing;fault-based testing;meaningful impact strategy;partition strategy;readable software specifications;tabular expression-based testing strategies,,4,,49,,,20110804,Sept.-Oct. 2011,,IEEE,IEEE Journals & Magazines,,18
Putting Preemptive Time Petri Nets to Work in a V-Model SW Life Cycle,L. Carnevali; L. Ridi; E. Vicario,"Universit&#x0E0; di Firenze, Firenze",IEEE Transactions on Software Engineering,20111205,2011,37,6,826,844,"Preemptive Time Petri Nets (pTPNs) support modeling and analysis of concurrent timed SW components running under fixed priority preemptive scheduling. The model is supported by a well-established theory based on symbolic state space analysis through Difference Bounds Matrix (DBM) zones, with specific contributions on compositional modularization, trace analysis, and efficient overapproximation and cleanup in the management of suspension deriving from preemptive behavior. In this paper, we devise and implement a framework that brings the theory to application. To this end, we cast the theory into an organic tailoring of design, coding, and testing activities within a V-Model SW life cycle in respect of the principles of regulatory standards applied to the construction of safety-critical SW components. To implement the toolchain subtended by the overall approach into a Model Driven Development (MDD) framework, we complement the theory of state space analysis with methods and techniques supporting semiformal specification and automated compilation into pTPN models and real-time code, measurement-based Execution Time estimation, test case selection and execution, coverage evaluation.",0098-5589;00985589,,10.1109/TSE.2011.4,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680913,Execution Time estimation;Real-time systems;SW life cycle;V-Model;automated code generation;automated model transformation;coverage analysis.;model driven development;preemptive Time Petri Nets;real-time testing;safety-critical SW components;symbolic state space analysis;test case selection and execution,Analytical models;Computer architecture;Mathematical model;Petri nets;Real time systems;Unified modeling language,Petri nets;formal specification;program diagnostics;program testing;safety-critical software;scheduling,V-model SW life cycle;automated compilation;compositional modularization;concurrent timed SW components;coverage evaluation;difference bounds matrix zones;fixed priority preemptive scheduling;measurement-based execution time estimation;model driven development framework;overapproximation;pTPN models;preemptive time Petri nets;real-time code;safety-critical SW components;semiformal specification;symbolic state space analysis;test case execution;test case selection;trace analysis,,8,,71,,,20110106,Nov.-Dec. 2011,,IEEE,IEEE Journals & Magazines,,18
Loupe: Verifying Publish-Subscribe Architectures with a Magnifying Lens,L. Baresi; C. Ghezzi; L. Mottola,"Politecnico di Milano, Milano",IEEE Transactions on Software Engineering,20110324,2011,37,2,228,246,"The Publish-Subscribe (P/S) communication paradigm fosters high decoupling among distributed components. This facilitates the design of dynamic applications, but also impacts negatively on their verification, making it difficult to reason on the overall federation of components. In addition, existing P/S infrastructures offer radically different features to the applications, e.g., in terms of message reliability. This further complicates the verification as its outcome depends on the specific guarantees provided by the underlying P/S system. Although model checking has been proposed as a tool for the verification of P/S architectures, existing solutions overlook many characteristics of the underlying communication infrastructure to avoid state explosion problems. To overcome these limitations, the Loupe domain-specific model checker adopts a different approach. The P/S infrastructure is not modeled on top of a general-purpose model checker. Instead, it is embedded within the checking engine, and the traditional P/S operations become part of the modeling language. In this paper, we describe Loupe's design and the dedicated state abstractions that enable accurate verification without incurring state explosion problems. We also illustrate our use of state-of-the-art software verification tools to assess some key functionality in Loupe's current implementation. A complete case study shows how Loupe eases the verification of P/S architectures. Finally, we quantitatively compare Loupe's performance against alternative approaches. The results indicate that Loupe is effective and efficient in enabling accurate verification of P/S architectures.",0098-5589;00985589,,10.1109/TSE.2010.39,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5432228,Publish-subscribe;model-checking.;verification,,formal verification;message passing;middleware,Loupe design;Loupe domain-specific model checker;P-S architectures verification;P-S infrastructures;P-S operation;communication infrastructure;dedicated state abstraction;distributed component;general purpose model checker;lens magnification;message reliability;modeling language;publish-subscribe architectures;publish-subscribe communication paradigm;state explosion problem;state-of-the-art software verification tool,,7,,64,,,20100318,March-April 2011,,IEEE,IEEE Journals & Magazines,,18
Software Module Clustering as a Multi-Objective Search Problem,K. Praditwong; M. Harman; X. Yao,"The University of Birmingham, Birmingham",IEEE Transactions on Software Engineering,20110324,2011,37,2,264,282,"Software module clustering is the problem of automatically organizing software units into modules to improve program structure. There has been a great deal of recent interest in search-based formulations of this problem in which module boundaries are identified by automated search, guided by a fitness function that captures the twin objectives of high cohesion and low coupling in a single-objective fitness function. This paper introduces two novel multi-objective formulations of the software module clustering problem, in which several different objectives (including cohesion and coupling) are represented separately. In order to evaluate the effectiveness of the multi-objective approach, a set of experiments was performed on 17 real-world module clustering problems. The results of this empirical study provide strong evidence to support the claim that the multi-objective approach produces significantly better solutions than the existing single-objective approach.",0098-5589;00985589,,10.1109/TSE.2010.26,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406532,SBSE;evolutionary computation.;module clustering;multi-objective optimization,,optimisation;pattern clustering;search problems;software engineering,multi-objective search problem;program structure;software module clustering,,108,,32,,,20100205,March-April 2011,,IEEE,IEEE Journals & Magazines,,18
WAM_ÑÓThe Weighted Average Method for Predicting the Performance of Systems with Bursts of Customer Sessions,D. Krishnamurthy; J. Rolia; M. Xu,"Dept. of Electr. &amp; Comput. Eng., Univ. of Calgary, Calgary, AB, Canada",IEEE Transactions on Software Engineering,20110929,2011,37,5,718,735,"Predictive performance models are important tools that support system sizing, capacity planning, and systems management exercises. We introduce the Weighted Average Method (WAM) to improve the accuracy of analytic predictive performance models for systems with bursts of concurrent customers. WAM considers the customer population distribution at a system to reflect the impact of bursts. The WAM approach is robust with respect to distribution functions, including heavy-tail-like distributions, for workload parameters. We demonstrate the effectiveness of WAM using a case study involving a multitier TPC-W benchmark system. To demonstrate the utility of WAM with multiple performance modeling approaches, we developed both Queuing Network Models and Layered Queuing Models for the system. Results indicate that WAM improves prediction accuracy for bursty workloads for QNMs and LQMs by 10 and 12 percent, respectively, with respect to a Markov Chain approach reported in the literature.",0098-5589;00985589,,10.1109/TSE.2011.65,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953602,Performance of systems;modeling techniques;operational analysis.;queuing theory,Accuracy;Analytical models;Markov processes;Predictive models;Queueing analysis;Software;Time factors,Markov processes;queueing theory;software performance evaluation;systems analysis,Markov chain approach;analytic predictive performance models;bursty workloads;capacity planning;customer session bursts;heavy tail like distributions;layered queuing models;multitier TPC-W benchmark system;queuing network models;system performance prediction;system sizing;systems management exercises;weighted average method,,7,,41,,,20110714,Sept.-Oct. 2011,,IEEE,IEEE Journals & Magazines,,17
Does Socio-Technical Congruence Have an Effect on Software Build Success? A Study of Coordination in a Software Project,I. Kwan; A. Schroter; D. Damian,"University of Victoria, Victoria",IEEE Transactions on Software Engineering,20110527,2011,37,3,307,324,"Socio-technical congruence is an approach that measures coordination by examining the alignment between the technical dependencies and the social coordination in the project. We conduct a case study of coordination in the IBM Rational Team Concert project, which consists of 151 developers over seven geographically distributed sites, and expect that high congruence leads to a high probability of successful builds. We examine this relationship by applying two congruence measurements: an unweighted congruence measure from previous literature, and a weighted measure that overcomes limitations of the existing measure. We discover that there is a relationship between socio-technical congruence and build success probability, but only for certain build types, and observe that in some situations, higher congruence actually leads to lower build success rates. We also observe that a large proportion of zero-congruence builds are successful, and that socio-technical gaps in successful builds are larger than gaps in failed builds. Analysis of the social and technical aspects in IBM Rational Team Concert allows us to discuss the effects of congruence on build success. Our findings provide implications with respect to the limits of applicability of socio-technical congruence and suggest further improvements of socio-technical congruence to study coordination.",0098-5589;00985589,,10.1109/TSE.2011.29,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5740929,Empirical software engineering;awareness;coordination;integration.;socio-technical congruence;software quality,Collaboration;Context;Programming;Software;Software engineering;Software measurement;Weight measurement,social aspects of automation;software development management,congruence measurements;social coordination;socio-technical congruence;software build success;software project;unweighted congruence measure;weighted measure,,40,1,54,,,20110405,May-June 2011,,IEEE,IEEE Journals & Magazines,,17
Which Crashes Should I Fix First?: Predicting Top Crashes at an Early Stage to Prioritize Debugging Efforts,D. Kim; X. Wang; S. Kim; A. Zeller; S. C. Cheung; S. Park,"Sogang University, Seoul",IEEE Transactions on Software Engineering,20110527,2011,37,3,430,447,"Many popular software systems automatically report failures back to the vendors, allowing developers to focus on the most pressing problems. However, it takes a certain period of time to assess which failures occur most frequently. In an empirical investigation of the Firefox and Thunderbird crash report databases, we found that only 10 to 20 crashes account for the large majority of crash reports; predicting these _ÑÒtop crashes_Ñù thus could dramatically increase software quality. By training a machine learner on the features of top crashes of past releases, we can effectively predict the top crashes well before a new release. This allows for quick resolution of the most important crashes, leading to improved user experience and better allocation of maintenance efforts.",0098-5589;00985589,,10.1109/TSE.2011.20,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5711013,Top crash;crash reports;data mining.;machine learning;social network analysis,Computer bugs;Feature extraction;Fires;Software;Testing;Training,program debugging;software maintenance;software quality;system recovery,Firefox crash report databases;Thunderbird crash report databases;debugging;software failures;software maintenance;software quality;software systems,,28,,59,,,20110210,May-June 2011,,IEEE,IEEE Journals & Magazines,,17
