Document Title,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page
Decoding the Representation of Code in the Brain: An fMRI Study of Code Review and Expertise,,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE),20170720,2017,,,175,186
Using Metrics to Track Code Review Performance,Bitergia,Proceedings of the 21st International Conference on Evaluation and Assessment in Software Engineering,20170711,2017,,,214,223
Predicting Usefulness of Code Review Comments Using Textual Features and Developer Experience,"Univ. of Saskatchewan, Saskatoon, SK, Canada",2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR),20170703,2017,,,215,226
Impact of Continuous Integration on Code Reviews,"Dept. of Comput. Sci., Univ. of Saskatchewan, Saskatoon, SK, Canada",2017 IEEE/ACM 14th International Conference on Mining Software Repositories (MSR),20170703,2017,,,499,502
Code Reviewing in the Trenches: Understanding Challenges and Best Practices,,IEEE Software,,2017,Early Access,Early Access,1,1
Impact of Gamification on Code review process: An Experimental Study,"Software Engineering Reseach Center, IIIT Hyderabad, India",Proceedings of the 10th Innovations in Software Engineering Conference,20170424,2017,,,122,126
Factors influencing code review processes in industry,"Leibniz Universit&#228;t Hannover, Germany",Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,20170413,2016,,,85,96
Visualizing code and coverage changes for code review,"Delft University of Technology, Netherlands",Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering,20170413,2016,,,1038,1041
Revisiting Code Ownership and Its Relationship with Software Quality in the Scope of Modern Code Review,"Nara Inst. of Sci. & Technol., Nara, Japan",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,1039,1050
Code Review Quality: How Developers See It,"Sch. of Comput. Sci., Univ. of Waterloo, Waterloo, ON, Canada",2016 IEEE/ACM 38th International Conference on Software Engineering (ICSE),20170403,2016,,,1028,1038
A Study of the Quality-Impacting Practices of Modern Code Review at Sony Mobile,"Sony Mobile, Japan",2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),20170323,2016,,,212,221
Teaching Code Review Management Using Branch Based Workflows,"Tech. Univ. Munchen, Munich, Germany",2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C),20170323,2016,,,384,393
Characterization of the Xen Project Code Review Process: an Experience Report,,2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR),20170126,2016,,,386,390
"Mining the Modern Code Review Repositories: A Dataset of People, Process and Product","NAIST, Ikoma, Japan",2016 IEEE/ACM 13th Working Conference on Mining Software Repositories (MSR),20170126,2016,,,460,463
A Collaborative Code Review Platform for GitHub,"Dept. of Electr. & Comput. Eng., Univ. of Auckland, Auckland, New Zealand",2016 21st International Conference on Engineering of Complex Computer Systems (ICECCS),20170116,2016,,,191,196
Search-Based Peer Reviewers Recommendation in Modern Code Review,"Dept. of Comput. Sci., Osaka Univ., Suita, Japan",2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),20170116,2016,,,367,377
Code Review Participation: Game Theoretical Modeling of Reviewers in Gerrit Datasets,"Nara Inst. of Sci. & Technol., Nara, Japan",2016 IEEE/ACM Cooperative and Human Aspects of Software Engineering (CHASE),20170109,2016,,,64,67
A Security Perspective on Code Review: The Case of Chromium,"Software Improvement Group, Amsterdam, Netherlands",2016 IEEE 16th International Working Conference on Source Code Analysis and Manipulation (SCAM),20161215,2016,,,21,30
Characterization of the Xen project code review process: an experience report,Bitergia,Proceedings of the 13th International Conference on Mining Software Repositories,20161111,2016,,,386,390
Characteristics of useful code reviews: an empirical study at Microsoft,"University of Alabama, Tuscaloosa, Alabama",Proceedings of the 12th Working Conference on Mining Software Repositories,20161111,2015,,,146,156
Impact of developer reputation on code review outcomes in OSS projects: an empirical investigation,"University of Alabama, Tuscaloosa, AL",Proceedings of the 8th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,20161111,2014,,,1,10
Code reviews do not find bugs: how the current code review best practice slows us down,"Microsoft Corporation Redmond, WA",Proceedings of the 37th International Conference on Software Engineering,20161111,2015,2,,27,28
Gamifying software engineering tasks based on cognitive principles: the case of code review,"University of Haifa, Haifa, Israel",Proceedings of the Eighth International Workshop on Cooperative and Human Aspects of Software Engineering,20161111,2015,,,119,120
Investigating code review practices in defective files: an empirical study of the Qt system,"Nara Institute of Science and Technology, Japan",Proceedings of the 12th Working Conference on Mining Software Repositories,20161111,2015,,,168,179
An approach for collaborative code reviews using multi-touch technology,"University of Zurich, Switzerland",Proceedings of the 5th International Workshop on Co-operative and Human Aspects of Software Engineering,20161111,2012,,,93,99
Removing stagnation from modern code review,"University of British Columbia, Canada","Companion Proceedings of the 2016 ACM SIGPLAN International Conference on Systems, Programming, Languages and Applications: Software for Humanity",20161111,2016,,,43,44
Partitioning composite code changes to facilitate code review,The Hong Kong University of Science and Technology,Proceedings of the 12th Working Conference on Mining Software Repositories,20161111,2015,,,180,190
An empirical investigation of socio-technical code review metrics and security vulnerabilities,"Rochester Institute of Technology, USA",Proceedings of the 6th International Workshop on Social Software Engineering,20161111,2014,,,37,44
Characteristics of the vulnerable code changes identified through peer code review,"University of Alabama, USA",Companion Proceedings of the 36th International Conference on Software Engineering,20161111,2014,,,736,738
Interactive code review for systematic changes,"University of California, Los Angeles",Proceedings of the 37th International Conference on Software Engineering,20161111,2015,1,,111,122
"Mining the modern code review repositories: a dataset of people, process and product","NAIST, Japan",Proceedings of the 13th International Conference on Mining Software Repositories,20161111,2016,,,460,463
Lessons learned from building and deploying a code review analytics platform,"Microsoft, Redmond, WA",Proceedings of the 12th Working Conference on Mining Software Repositories,20161111,2015,,,191,201
Critics: an interactive code review tool for searching and inspecting systematic changes,"University of California at Los Angeles, USA",Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,20161111,2014,,,755,758
Reliability in the Assessment of Program Quality by Teaching Assistants During Code Reviews,"Brunel University, London, United Kingdom",Proceedings of the 2015 ACM Conference on Innovation and Technology in Computer Science Education,20161111,2015,,,346,346
Helping developers help themselves: automatic decomposition of code review changesets,"Microsoft Research Redmond, WA",Proceedings of the 37th International Conference on Software Engineering,20161111,2015,1,,134,144
RefDistiller: a refactoring aware code review tool for inspecting manual refactoring edits,"University of Texas at Austin, USA / Federal University of Campina Grande, Brazil",Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,20161111,2014,,,751,754
Collaborative security code review,"Carleton University, Ottawa, ON, Canada",Proceedings of the 14th International Conference on Mobile and Ubiquitous Multimedia,20161111,2015,,,439,444
Process Aspects and Social Dynamics of Contemporary Code Review: Insights from Open Source Development and Industrial Practice at Microsoft,"Department of Computer Science, Southern Illinois University, Carbondale, IL",IEEE Transactions on Software Engineering,20170109,2017,43,1,56,75
"The impact of code review coverage and code review participation on software quality: a case study of the qt, VTK, and ITK projects","Queen&#039;s University, Canada",Proceedings of the 11th Working Conference on Mining Software Repositories,20160129,2014,,,192,201
Reducing human effort and improving quality in peer code reviews using automatic static analysis and reviewer recommendation,"VMware, India",Proceedings of the 2013 International Conference on Software Engineering,20160129,2013,,,931,940
Peer code review in open source communitiesusing reviewboard,"The University of Alabama, Tuscaloosa, AL, USA",Proceedings of the ACM 4th annual workshop on Evaluation and usability of programming languages and tools,20160129,2012,,,17,24
Modern code reviews in open-source projects: which problems do they fix?,"Delft University of Technology, Netherlands",Proceedings of the 11th Working Conference on Mining Software Repositories,20160129,2014,,,202,211
"Expectations, outcomes, and challenges of modern code review","University of Lugano, Switzerland",Proceedings of the 2013 International Conference on Software Engineering,20160129,2013,,,712,721
Teaching operating systems using code review,"Columbia University, New York, NY, USA",Proceedings of the 45th ACM technical symposium on Computer science education,20160129,2014,,,549,554
Towards refactoring-aware code review,"North Carolina State University, USA",Proceedings of the 7th International Workshop on Cooperative and Human Aspects of Software Engineering,20160129,2014,,,99,102
Talking about code: Integrating pedagogical code reviews into early computing courses,,ACM Transactions on Computing Education (TOCE),20160129,2013,13,3,1,28
Improving code review effectiveness through reviewer recommendations,"NAIST, Japan",Proceedings of the 7th International Workshop on Cooperative and Human Aspects of Software Engineering,20160129,2014,,,119,122
Measuring increased engagement using tablet PCs in a code review class,"Univ. of Illinois, Urbana, IL, USA",Proceeding of the 44th ACM technical symposium on Computer science education,20160129,2013,,,465,470
Exploring the usability and effectiveness of interactive annotation and code review for the detection of security vulnerabilities,"Department of Software and Information Systems, University of North Carolina at Charlotte, 28223, USA",2015 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),20151217,2015,,,295,296
Investigating code review quality: Do people and participation matter?,"David R. Cheriton School of Computer Science, University of Waterloo, Canada",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,111,120
Four eyes are better than two: On the impact of code reviews on software quality,"Faculty of Computer Science, Free University of Bozen-Bolzano, Italy",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,81,90
Automatically Recommending Peer Reviewers in Modern Code Review,"Department of Electrical Engineering and Computer Science, Wichita State University, Wichita, Kansas",IEEE Transactions on Software Engineering,20160610,2016,42,6,530,543
Code Reviews Do Not Find Bugs. How the Current Code Review Best Practice Slows Us Down,"Microsoft Corp., Redmond, WA, USA",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,2,,27,28
In Support of Peer Code Review and Inspection in an Undergraduate Software Engineering Course,"Int. Inst. of Inf. Technol., Hyderabad, India",2015 IEEE 28th Conference on Software Engineering Education and Training,20150817,2015,,,3,6
Interactive Code Review for Systematic Changes,"Univ. of California, Los Angeles, Los Angeles, CA, USA",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,1,,111,122
Helping Developers Help Themselves: Automatic Decomposition of Code Review Changesets,"Microsoft Res., Redmond, WA, USA",2015 IEEE/ACM 37th IEEE International Conference on Software Engineering,20150817,2015,1,,134,144
Characteristics of Useful Code Reviews: An Empirical Study at Microsoft,"Dept. of Comput. Sci., Univ. of Alabama, Tuscaloosa, AL, USA",2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,20150806,2015,,,146,156
Investigating Code Review Practices in Defective Files: An Empirical Study of the Qt System,"Nara Inst. of Sci. & Technol., Nara, Japan",2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,20150806,2015,,,168,179
Partitioning Composite Code Changes to Facilitate Code Review,"Dept. of Comput. Sci. & Eng., Hong Kong Univ. of Sci. & Technol., Hong Kong, China",2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,20150806,2015,,,180,190
Lessons Learned from Building and Deploying a Code Review Analytics Platform,"Microsoft, Redmond, WA, USA",2015 IEEE/ACM 12th Working Conference on Mining Software Repositories,20150806,2015,,,191,201
Gamifying Software Engineering Tasks Based on Cognitive Principles: The Case of Code Review,"Dept. of Inf. Syst., Univ. of Haifa, Haifa, Israel",2015 IEEE/ACM 8th International Workshop on Cooperative and Human Aspects of Software Engineering,20150727,2015,,,119,120
Who should review my code? A file location-based code-reviewer recommendation approach for Modern Code Review,"Nara Institute of Science and Technology, Japan","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",20150409,2015,,,141,150
"Do code review practices impact design quality? A case study of the Qt, VTK, and ITK projects","SWAT, Polytechnique Montr&#x00E9;al, Canada","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",20150409,2015,,,171,180
"Code review: Veni, ViDI, vici","REVEAL @ Faculty of Informatics - University of Lugano, Switzerland","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",20150409,2015,,,151,160
Would static analysis tools help developers with code reviews?,"University of Zurich, Department of Informatics, Switzerland","2015 IEEE 22nd International Conference on Software Analysis, Evolution, and Reengineering (SANER)",20150409,2015,,,161,170
Mining Peer Code Review System for Computing Effort and Contribution Metrics for Patch Reviewers,"Indraprastha Inst. of Inf. Technol., New Delhi, India",2014 IEEE 4th Workshop on Mining Unstructured Data,20141211,2014,,,11,15
ReDA: A Web-Based Visualization Tool for Analyzing Modern Code Review Dataset,"Nara Inst. of Sci. & Technol., Ikoma, Japan",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,605,608
0-1 Programming Model-Based Method for Planning Code Review Using Bug Fix History,"Center for Inf. Technol., Ehime Univ., Matsuyama, Japan",2013 20th Asia-Pacific Software Engineering Conference (APSEC),20140306,2013,2,,37,42
Impact of Peer Code Review on Peer Impression Formation: A Survey,"Dept. of Comput. Sci., Univ. of Alabama, Tuscaloosa, AL, USA",2013 ACM / IEEE International Symposium on Empirical Software Engineering and Measurement,20131212,2013,,,133,142
The influence of non-technical factors on code review,"David R. Cheriton Sch. of Comput. Sci., Univ. of Waterloo, Waterloo, ON, Canada",2013 20th Working Conference on Reverse Engineering (WCRE),20131121,2013,,,122,131
Fix-it: An extensible code auto-fix component in Review Bot,"VMware, Bangalore, India",2013 IEEE 13th International Working Conference on Source Code Analysis and Manipulation (SCAM),20131028,2013,,,167,172
Gerrit software code review data from Android,"Concordia University Montreal, QC, Canada",2013 10th Working Conference on Mining Software Repositories (MSR),20131010,2013,,,45,48
Who does what during a code review? Datasets of OSS peer review repositories,"NAIST, Japan",2013 10th Working Conference on Mining Software Repositories (MSR),20131010,2013,,,49,52
On the understanding of programs with continuous code reviews,"Res. Group for Ind. Software (INSO), Vienna Univ. of Technol., Vienna, Austria",2013 21st International Conference on Program Comprehension (ICPC),20130930,2013,,,192,198
Reducing human effort and improving quality in peer code reviews using automatic static analysis and reviewer recommendation,"VMware, Bangalore, India",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,931,940
"Expectations, outcomes, and challenges of modern code review","REVEAL @ Faculty of Informatics, University of Lugano, Switzerland",2013 35th International Conference on Software Engineering (ICSE),20130926,2013,,,712,721
The Effect of Checklist in Code Review for Inexperienced Students: An Empirical Study,"State Key Lab. for Novel Software Technol., Nanjing, China",2012 IEEE 25th Conference on Software Engineering Education and Training,20120723,2012,,,120,124
An approach for collaborative code reviews using multi-touch technology,"s.e.a.l. - software architecture and evolution lab, Department of Informatics, University of Zurich, Switzerland",2012 5th International Workshop on Co-operative and Human Aspects of Software Engineering (CHASE),20120625,2012,,,93,99
Analyzing Involvements of Reviewers through Mining a Code Review Repository,"Grad. Sch. of Sci. & Technol., Kyoto Inst. of Technol., Kyoto, Japan",2011 Joint Conference of the 21st International Workshop on Software Measurement and the 6th International Conference on Software Process and Product Measurement,20111229,2011,,,126,132
A Task-Based Code Review Process and Tool to Comply with the DO-278/ED-109 Standard for Air Traffic Managment Software Development: An Industrial Case Study,"Res. Group for Ind. Software (INSO), Vienna Univ. of Technol., Vienna, Austria",2011 IEEE 13th International Symposium on High-Assurance Systems Engineering,20111229,2011,,,182,187
The design of an online environment to support pedagogical code reviews,"Washington State University, Pullman, WA, USA",Proceedings of the 41st ACM technical symposium on Computer science education,20110708,2010,,,182,186
Design and Implementation of Java Sniper: A Community-Based Software Code Review Web Solution,"California State Univ., Fresno, CA, USA",2011 44th Hawaii International Conference on System Sciences,20110222,2011,,,1,10
A Socio-Psychological Approach to Improve Student Participation and Review Quality in Peer Code Reviews,"Human-Centered Environments for Learning & Programming (HELP) Lab., Washington State Univ., Pullman, WA, USA",2010 IEEE Symposium on Visual Languages and Human-Centric Computing,20101111,2010,,,263,264
Adopting Code Reviews for Agile Software Development,"Res. Group for Ind. Software, Vienna Univ. of Technol., Vienna, Austria",2010 Agile Conference,20100907,2010,,,44,47
Collaborations and Code Reviews,University of Alabama,IEEE Software,20150821,2015,32,5,27,29
"Reactive Power Management in Renewable Rich Power Grids: A Review of Grid-Codes, Renewable Generators, Support Devices, Control Strategies and Optimization Algorithms","School of Engineering, RMIT University, Melbourne, VIC 3000, Australia.",IEEE Access,,2018,Early Access,Early Access,1,1
Multilingual Source Code Analysis: A Systematic Literature Review,"COMSATS Institute of Information Technology, Lahore Campus, Lahore, Pakistan",IEEE Access,20180315,2017,5,,11307,11336
Review of Algebraic Coding Theory Revised Edition by Elwyn Berlekamp,"VIT University, Chennai Campus, India",ACM SIGACT News,20170511,2017,48,1,23,26
Analyzing reviews and code of mobile apps for better release planning,"University of Zurich, Department of Informatics, Switzerland","2017 IEEE 24th International Conference on Software Analysis, Evolution and Reengineering (SANER)",20170323,2017,,,91,102
Empirical Evaluation of the Impact of Object-Oriented Code Refactoring on Quality Attributes: A Systematic Literature Review,"Department of Information Science, Kuwait University, Safat, Kuwait",IEEE Transactions on Software Engineering,20180108,2018,44,1,44,69
Refining students' coding and reviewing skills,University of Rochester,Communications of the ACM,20161111,2014,57,9,10,11
Review code evolution history in OSS universe,"Peking University, Beijing, China",Proceedings of the Fourth Asia-Pacific Symposium on Internetware,20160129,2012,,,1,4
A systematic literature review of traceability approaches between software architecture and source code,"University of Vienna, Austria",Proceedings of the 18th International Conference on Evaluation and Assessment in Software Engineering,20160129,2014,,,1,10
Alternatives to lecture: experience peer instruction and pedagogical code reviews,"Grand Valley State University, Allendale, MI, USA",Proceedings of the 45th ACM technical symposium on Computer science education,20160129,2014,,,275,276
"Review of applied algebra: codes, ciphers and discrete algorithms, by Darel W. Hardy, Fred Richman, and Carol L. Walker",,ACM SIGACT News,20160129,2012,43,3,25,27
Review of variable-length codes for data compression by David Salomon,"Sylhet, Banglade",ACM SIGACT News,20160129,2013,44,4,24,26
Tutorial 1: Mining Unstructured Data from Code Reviews: A Hands-On Tutorial by Nicolas Bettenburg,,2014 IEEE 4th Workshop on Mining Unstructured Data,20141211,2014,,,x,xi
Improving Review of Clustered-Code Analysis Warnings,"Res. Dev. & Design Center, Pune, India",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,569,572
Geometric distortion measurement for shape coding: A contemporary review,"The University of Western Australia, Australia",ACM Computing Surveys (CSUR),20121018,2011,43,4,1,22
The importance of reviewing the code,"Universidade de Vigo at Ourense, Spain",Communications of the ACM,20121018,2011,54,5,40,41
Review of codes: an introduction to information communication and cryptography by Norman L Biggs,,ACM SIGACT News,20121018,2012,43,1,27,29
Review of algebraic function fields and codes by Henning Stichtenoth,,ACM SIGACT News,20121018,2011,42,2,19,24
Review of the Cryptoclub: using mathematics to make and break secret codes by Janet Beissinger and Vera Pless,"University of Maryland, Baltimore County",ACM SIGACT News,20121018,2012,43,1,9,14
Review and Implementation of the Emerging CCSDS Recommended Standard for Multispectral and Hyperspectral Lossless Image Coding,"Dept. of Inf. & Commun. Eng., Univ. Autonoma de Barcelona, Barcelona, Spain","2011 First International Conference on Data Compression, Communications and Processing",20111027,2011,,,222,228
"Review of coding for data and computer communications by David Salomon Springer, 2005","2115 Shadebrush Court, Augusta, GA",ACM SIGACT News,20110708,2010,41,4,32,34
Magnetotelluric 3-D inversionâ€”a review of two successful workshops on forward and inversion code testing and comparison,,Geophysical Journal International,20180118,2013,193,3,1216,1238
"Reviews [reviews of ""The Computer Boys Take Over: Computers, Programmers, and the Politics of Technical Expertise"" (Ensmenger, N; 2020) and ""Gender Codes: Why Women Are Leaving Computing"" (Misa, T.J.; 2010)]",,IEEE Annals of the History of Computing,20110519,2011,33,2,102,104
From Black Codes to Recodification: Removing the Veil from Regulatory Writing Book Review,,IEEE Transactions on Professional Communication,20101122,2010,53,4,426,427
"Bayesian Brain: Probabilistic Approaches to Neural Coding (Doya, K., Eds., et al.; 2007) [Book Review]",,IEEE Pulse,20101122,2010,1,3,64,65
Everyday Codes [Book Review],,IEEE Microwave Magazine,20100520,2010,11,4,120,120
Context is king: The developer perspective on the usage of static analysis tools,"University of Zurich, Switzerland","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)",20180405,2018,,,38,49
Detecting Duplicate Pull-requests in GitHub,"National Laboratory for Parallel and Distributed Processing, College of Computer, National University of Defense Technology, Changsha, China",Proceedings of the 9th Asia-Pacific Symposium on Internetware,20171225,2017,,,1,6
On the Influence of Human Factors for Identifying Code Smells: A Multi-Trial Empirical Study,"Banco do Brazil, Rio de Janeiro, Brazil",2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM),20171211,2017,,,68,77
Are developers aware of the architectural impact of their changes?,"University College London, United Kingdom",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),20171123,2017,,,95,105
Reviewing Career Paths of the OpenStack Developers,"Eindhoven Univ. of Technol., Eindhoven, Netherlands",2017 IEEE International Conference on Software Maintenance and Evolution (ICSME),20171107,2017,,,544,548
The Human Factor,University of Alabama,IEEE Software,20170922,2017,34,5,90,92
Source Code Patterns of SQL Injection Vulnerabilities,"HTWG Konstanz, Department of Computer Science, Konstanz, Germany, Norwegian University of Science and Technology, Department of Information Security and Communication Technology, Gj&#248;vik, Norway","Proceedings of the 12th International Conference on Availability, Reliability and Security",20170914,2017,,,1,7
Broadcast vs. Unicast Review Technology: Does It Matter?,"SWAT-MCIS, Ecole Polytech. de Montreal, Montreal, QC, Canada","2017 IEEE International Conference on Software Testing, Verification and Validation (ICST)",20170518,2017,,,219,229
Comparing Pre Commit Reviews and Post Commit Reviews Using Process Simulation,"FG Software Eng., Leibniz Univ. Hannover, Hannover, Germany",2016 IEEE/ACM International Conference on Software and System Processes (ICSSP),20170126,2016,,,26,35
Why are Commits Being Reverted?: A Comparative Study of Industrial and Open Source Projects,"Sony Mobile Commun. Inc., Japan",2016 IEEE International Conference on Software Maintenance and Evolution (ICSME),20170116,2016,,,301,311
Robot ON!: A Serious Game for Improving Programming Comprehension,"Software Quality Res. Lab., Univ. of Ontario, Oshawa, ON, Canada",2016 IEEE/ACM 5th International Workshop on Games and Software Engineering (GAS),20170109,2016,,,33,36
Integrated Formal Methods for Constructing Assurance Cases,"fortiss-An-Inst., Tech. Univ. Munchen, Munich, Germany",2016 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),20161219,2016,,,221,228
Comparing pre commit reviews and post commit reviews using process simulation,"Leibniz Universit&#228;t Hannover, Hannover, Germany",Proceedings of the International Conference on Software and Systems Process,20161111,2016,,,26,35
Predicting Defectiveness of Software Patches,"Data Science Lab, Ryerson, University, Canada",Proceedings of the 10th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,20161111,2016,,,1,10
Identifying the characteristics of vulnerable code changes: an empirical study,"University of Alabama, USA",Proceedings of the 22nd ACM SIGSOFT International Symposium on Foundations of Software Engineering,20161111,2014,,,257,268
Architecting an extensible framework for Gamifying Software Engineering concepts,"IIIT-Hyderabad, Hyderabad, India",Proceedings of the 9th India Software Engineering Conference,20161111,2016,,,119,130
Software security: a study in technology transfer,"Cigital, Dulles, VA, USA","Proceedings of the companion publication of the 2014 ACM SIGPLAN conference on Systems, Programming, and Applications: Software for Humanity",20161111,2014,,,1,1
The Sweep: Essential Examples for In-Flow Peer Review,"Brown University, Providence, RI, USA",Proceedings of the 47th ACM Technical Symposium on Computing Science Education,20161111,2016,,,243,248
Untangling development tasks with software developer's activity,"Slovak University of Technology in Bratislava, Bratislava, Slovakia",Proceedings of the Second International Workshop on Context for Software Development,20161111,2015,,,13,14
Convergent contemporary software peer review practices,"Concordia University, Canada",Proceedings of the 2013 9th Joint Meeting on Foundations of Software Engineering,20160129,2013,,,202,212
Process mining multiple repositories for software defect resolution from control and organizational perspective,"IIIT Delhi, India",Proceedings of the 11th Working Conference on Mining Software Repositories,20160129,2014,,,122,131
CaptainTeach: a platform for in-flow peer review of programming assignments,"Brown University, Providence, RI, USA",Proceedings of the 2014 conference on Innovation & technology in computer science education,20160129,2014,,,332,332
How do software engineers understand code changes?: an exploratory study in industry,"The Hong Kong University of Science and Technology, Hong Kong, China",Proceedings of the ACM SIGSOFT 20th International Symposium on the Foundations of Software Engineering,20160129,2012,,,1,11
An Overview of Source Code Audit,"Nat. Eng. Res. Center of Inf. Security, Beijing, China","2015 International Conference on Industrial Informatics - Computing Technology, Intelligent Technology, Industrial Information Integration",20160107,2015,,,26,29
