"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"WAP: Does Reviewer Age Affect Code Review Performance?","Y. Murakami; M. Tsunoda; H. Uwano","Grad. Sch. of Sci. & Eng., Kindai Univ., Higashi-Osaka, Japan","2017 IEEE 28th International Symposium on Software Reliability Engineering (ISSRE)","20171116","2017","","","164","169","We focus on developer code review performance, and analyze whether the age of a subject affects the efficiency and preciseness of their code. Generally, older coders have more experience. Therefore, the age is considered to positively affect code review. However, in our past study, code understanding speed was relatively slow for older subjects, and memory is needed to understand programs. Similarly, during code review, a subject's age may affect efficiency (e.g., the number of indications per unit time). In the experiment, subjects reviewed source code, referring to mini specification documents. When the code did not follow the document, the subjects indicated the error. We classified subjects into senior and junior groups. In the analysis, we stratified the results based on age, and used correlation coefficients and multiple linear regression to clarify the relationship between age and review performance. We found that age does not affect the efficiency and correctness of code review. Also, the software development experience of subjects is not significantly correlated to performance.","","Electronic:978-1-5386-0941-5; POD:978-1-5386-0942-2","10.1109/ISSRE.2017.37","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109083","developer's performance;gerontology;software review","Correlation coefficient;Encoding;Gerontology;Java;Measurement;Software","program compilers;program debugging;program diagnostics;software maintenance;software performance evaluation;training","WAP;code review performance;code understanding speed;developer code review performance;older coders;older subjects;software development experience;source code","","","","","","","","23-26 Oct. 2017","","IEEE","IEEE Conferences"
"Refactoring-aware code review","X. Ge; S. Sarkar; J. Witschey; E. Murphy-Hill","Apple Inc., USA","2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","20171113","2017","","","71","79","Code review, where developers manually inspect one another's code changes, improves software quality and transfers knowledge in a team. Unfortunately, tools that support code review treat behavior-preserving changes, or refactorings, and behavior-altering changes, or non-refactorings, the same way, so developers have to spend effort differentiating between the two before they can evaluate the impact of a change set. In this paper, we describe a formative study of 35 developers that motivates the need for separating refactorings from non-refactorings during code review. Then, we present a refactoring-aware code review tool, called ReviewFactor, that differentiates between refactoring and non-refactoring, and allows developers to focus on one of them at a time. Finally, a case study of two open source projects suggests that ReviewFactor detects refactorings in 39% of the commits, and identifies 4.6% of the total lines of code change as refactorings. Our results also show that the precision and recall of ReviewFactor's refactoring detection algorithm are 92.5% and 94.2%, respectively.","","Electronic:978-1-5386-0443-4; POD:978-1-5386-0444-1","10.1109/VLHCC.2017.8103453","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103453","","Detection algorithms;Java;Manuals;Software;Solids;Tools;Visualization","software maintenance;software quality;software reviews","ReviewFactor;behavior-altering changes;behavior-preserving changes;code change;refactoring detection algorithm;refactoring-aware code review tool;software quality","","","","","","","","11-14 Oct. 2017","","IEEE","IEEE Conferences"
"Evaluating how static analysis tools can reduce code review effort","D. Singh; V. R. Sekar; K. T. Stolee; B. Johnson","Department of Computer Science, North Carolina State University","2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","20171113","2017","","","101","105","Peer code reviews are important for giving and receiving peer feedback, but the code review process is time consuming. Static analysis tools can help reduce reviewer effort by catching common mistakes prior to peer code review. Ideally, contributors would use static analysis tools prior to pull request submission so common mistakes could be addressed first, before invoking the reviewer. To explore the potential efficiency gains for peer reviewers, we explore the overlap between reviewer comments on pull requests and warnings from the PMD static analysis tool. In an empirical study of 274 comments from 92 pull requests on GitHub, we observed that PMD overlapped with nearly 16% of the reviewer comments, indicating a time benefit to the reviewer if static analyzers would have been used prior to pull request submission. Using the non-overlapping set of comments, we identify four additional rules that, if implemented, could further reduce reviewer effort.","","Electronic:978-1-5386-0443-4; POD:978-1-5386-0444-1","10.1109/VLHCC.2017.8103456","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103456","","Encoding;Java;Manuals;Standards;Tools;Visualization","program diagnostics;public domain software","GitHub;PMD static analysis tool;code review effort;code review process;peer code reviews;peer reviewers;pull requests;reviewer comments;static analysis tools;static analyzers","","","","","","","","11-14 Oct. 2017","","IEEE","IEEE Conferences"
"A Large-Scale Study of Modern Code Review and Security in Open Source Projects","C. Thompson; D. Wagner","University of California, Berkeley","Proceedings of the 13th International Conference on Predictive Models and Data Analytics in Software Engineering","20171107","2017","","","83","92","<p>Background: Evidence for the relationship between code review process and software security (and software quality) has the potential to help improve code review automation and tools, as well as provide a better understanding of the economics for improving software security and quality. Prior work in this area has primarily been limited to case studies of a small handful of software projects. Aims: We investigate the effect of modern code review on software security. We extend and generalize prior work that has looked at code review and software quality. Method: We gather a very large dataset from GitHub (3,126 projects in 143 languages, with 489,038 issues and 382,771 pull requests), and use a combination of quantification techniques and multiple regression modeling to study the relationship between code review coverage and participation and software quality and security. Results: We find that code review coverage has a significant effect on software security. We confirm prior results that found a relationship between code review coverage and software defects. Most notably, we find evidence of a negative relationship between code review of pull requests and the number of security bugs reported in a project. Conclusions: Our results suggest that implementing code review policies within the pull request model of development may have a positive effect on the quality and security of software.</p>","","Electronic:978-1-4503-5305-2","10.1145/3127005.3127014","","","code review;mining software repositories;multiple regression models;quantification models;software quality;software security","","","","","","","","","","","8-8 Nov. 2017","","ACM","ACM Conferences"
"On the Optimal Order of Reading Source Code Changes for Review","T. Baum; K. Schneider; A. Bacchelli","FG Software Eng., Leibniz Univ. Hannover, Hannover, Germany","2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)","20171107","2017","","","329","340","Change-based code review, e.g., in the form of pull requests, is the dominant style of code review in practice. An important option to improve review's efficiency is cognitive support for the reviewer. Nevertheless, review tools present the change parts under review sorted in alphabetical order of file path, thus leaving the effort of understanding the construction, connections, and logic of the changes on the reviewer. This leads to the question: How should a code review tool order the parts of a code change to best support the reviewer? We answer this question with a middle-range theory, which we generated inductively in a mixed methods study, based on interviews, an online survey, and existing findings from related areas. Our results indicate that an optimal order is mainly an optimal grouping of the change parts by relatedness. We present our findings as a collection of principles and formalize them as a partial order relation among review orders.","","Electronic:978-1-5386-0992-7; POD:978-1-5386-0993-4","10.1109/ICSME.2017.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094433","Change-based code review;Cognitive support review tools;Modern code review;Program comprehension;Pull-based development","Industries;Interviews;Navigation;Software;Software engineering;Tools","program diagnostics;public domain software;software quality;source code (software)","alphabetical order;change parts;change-based code review;code review tool;middle-range theory;optimal grouping;optimal order;partial order relation;review efficiency;review orders;review tools;reviewer;source code change reading","","","","","","","","17-22 Sept. 2017","","IEEE","IEEE Conferences"
"Confusion Detection in Code Reviews","F. Ebert; F. Castor; N. Novielli; A. Serebrenik","Fed. Univ. of Pernambuco, Recife, Brazil","2017 IEEE International Conference on Software Maintenance and Evolution (ICSME)","20171107","2017","","","549","553","Code reviews are an important mechanism for assuring quality of source code changes. Reviewers can either add general comments pertaining to the entire change or pinpoint concerns or shortcomings about a specific part of the change using inline comments. Recent studies show that reviewers often do not understand the change being reviewed and its context.Our ultimate goal is to identify the factors that confuse code reviewers and understand how confusion impacts the efficiency and effectiveness of code review(er)s. As the first step towards this goal we focus on the identification of confusion in developers' comments. Based on an existing theoretical framework categorizing expressions of confusion, we manually classify 800 comments from code reviews of the Android project. We observe that confusion can be reasonably well-identified by humans: raters achieve moderate agreement (Fleiss' kappa 0.59 for the general comments and 0.49 for the inline ones). Then, for each kind of comment we build a series of automatic classifiers that, depending on the goals of the further analysis, can be trained to achieve high precision (0.875 for the general comments and 0.615 for the inline ones), high recall (0.944 for the general comments and 0.988 for the inline ones), or substantial precision and recall (0.696 and 0.542 for the general comments and 0.434 and 0.583 for the inline ones, respectively). These results motivate further research on the impact of confusion on the code review process. Moreover, other researchers can employ the proposed classifiers to analyze confusion in other contexts where software development-related discussions occur, such as mailing lists.","","Electronic:978-1-5386-0992-7; POD:978-1-5386-0993-4","10.1109/ICSME.2017.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094460","code review;confusion;machine learning","Androids;Humanoid robots;Labeling;Manuals;Software;Training;Uncertainty","Android (operating system);human factors;pattern classification;program testing;software quality","Android project;automatic classifiers;code review process;confusion detection;inline comments;precision value;recall value;source code changes","","1","","","","","","17-22 Sept. 2017","","IEEE","IEEE Conferences"
"Continuous Code Reviews: A Social Coding tool for Code Reviews inside the IDE","T. Dürschmid","Hasso Plattner Institute, University of Potsdam, Potsdam, Germany","Companion to the first International Conference on the Art, Science and Engineering of Programming","20170914","2017","","","1","3","<p>Code reviews play an important and successful role in modern software development. But usually they happen only once before new code is merged into the main branch. We present a concept which helps developers to continuously give feedback on their source code directly in the integrated development environment (IDE) by using the metaphor of social networks. This reduces context switches for developers, improves the software development process and allows to give feedback to developers of external libraries and frameworks.</p>","","","10.1145/3079368.3079374","","","code quality;code review;feedback;social coding","","","","","","","","","","","3-6 April 2017","","ACM","ACM Conferences"
"Interactively Decomposing Composite Changes to Support Code Review and Regression Testing","B. Guo; M. Song","Dept. of Comput. Sci., Univ. of Nebraska, Omaha, NE, USA","2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)","20170911","2017","1","","118","127","Developers often address multiple development issues to make composite code changes, as opposed to atomic changes that address one single issue. Investigating and testing such code changes is a tedious and error-prone process for developers. To address the problem, this paper presents a technique, called CHGCUTTER, for (1) interactively decomposing composite changes into atomic changes, (2) building related change subsets using program dependence relationships without syntactic violation, and (3) safely selecting only related test cases from the test suite to reduce the time to conduct regression testing. In the evaluation, CHGCUTTER analyzes 28 composite changes in four open source projects. It identifies related change subsets with 95.7% accuracy, and it selects test cases affected by these changes with 89.0% accuracy. Our results show that CHGCUTTER should help developers effectively inspect changes and validate modified applications during development.","0730-3157;07303157","Electronic:978-1-5386-0367-3; POD:978-1-5386-0368-0","10.1109/COMPSAC.2017.153","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029599","Code review;maintenance;regression testing;software evolution","Bars;Buildings;Control systems;Paints;Software;Syntactics;Testing","program testing;public domain software;regression analysis;software maintenance;source code (software)","CHGCUTTER;atomic changes;code review;composite code changes;open source projects;program dependence relationships;regression testing;software development","","","","","","","","4-8 July 2017","","IEEE","IEEE Conferences"
"Tool Support for Managing Clone Refactorings to Facilitate Code Review in Evolving Software","Z. Chen; M. Mohanavilasam; Y. W. Kwon; M. Song","Univ. of Nebraska, Omaha, NE, USA","2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC)","20170911","2017","1","","288","297","Developers often perform copy-and-paste activities. This practice causes the similar code fragment (aka code clones) to be scattered throughout a code base. Refactoring for clone removal is beneficial, preventing clones from having negative effects on software quality, such as hidden bug propagation and unintentional inconsistent changes. However, recent research has provided evidence that factoring out clones is not always to reduce the risk of introducing defects, and it is often difficult or impossible to remove clones using standard refactoring techniques. To investigate which or how clones can be refactored, developers typically spend a significant amount of their time managing individual clone instances or clone groups scattered across a large code base. To address the problem, this paper presents a technique for managing clone refactorings, Pattern-based clone Refactoring Inspection (PRI), using refactoring pattern templates. By matching the refactoring pattern templates against a code base, it summarizes refactoring changes of clones, and detects the clone instances not consistently factored out as potential anomalies. PRI also provides novel visualization user interfaces specifically designed for inspecting clone refactorings. In the evaluation, PRI analyzes clone instances in six open source projects. It identifies clone refactorings with 94.1% accuracy and detects inconsistent refactorings with 98.4% accuracy. Our results show that PRI should help developers effectively inspect evolving clones and correctly apply refactorings to clone groups.","0730-3157;07303157","Electronic:978-1-5386-0367-3; POD:978-1-5386-0368-0","10.1109/COMPSAC.2017.242","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8029620","Code clones;maintenance;refactorings;software evolution","Cloning;Computer bugs;Inspection;Pattern matching;Software;Standards;Tools","data visualisation;public domain software;software maintenance;software management;software quality;software tools;source code (software);user interfaces","PRI;clone instances analysis;clone refactorings management;clone removal;code base;code clones;code fragment;code review facilitation;open source projects;pattern-based clone refactoring inspection;refactoring pattern templates matching;software quality;tool support;visualization user interfaces","","","","","","","","4-8 July 2017","","IEEE","IEEE Conferences"
"Decoding the Representation of Code in the Brain: An fMRI Study of Code Review and Expertise","B. Floyd; T. Santander; W. Weimer","","2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE)","20170720","2017","","","175","186","Subjective judgments in software engineering tasks are of critical importance but can be difficult to study with conventional means. Medical imaging techniques hold the promise of relating cognition to physical activities and brain structures. In a controlled experiment involving 29 participants, we examine code comprehension, code review and prose review using functional magnetic resonance imaging. We find that the neural representations of programming languages vs. natural languages are distinct. We can classify which task a participant is undertaking based solely on brain activity (balanced accuracy 79%, p <; 0.001). Further, we find that the same set of brain regions distinguish between code and prose (near-perfect correlation, r = 0.99, p <; 0.001). Finally, we find that task distinctions are modulated by expertise, such that greater skill predicts a less differentiated neural representation (r = -0.44, p = 0.016) indicating that more skilled participants treat code and prose more similarly at a neural activation level.","","Electronic:978-1-5386-3868-2; POD:978-1-5386-3869-9","10.1109/ICSE.2017.24","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7985660","code comprehension;medical imaging;prose review","Biomedical imaging;Brain;Computer science;Natural languages;Software;Software engineering;Tools","biomedical MRI;medical image processing;software engineering","code comprehension;code review;fMRI study;functional magnetic resonance imaging;medical imaging techniques;natural languages;neural representations;programming languages;prose review;software engineering tasks","","","","","","","","20-28 May 2017","","IEEE","IEEE Conferences"
"Using Metrics to Track Code Review Performance","D. Izquierdo-Cortazar; N. Sekitoleko; J. M. Gonzalez-Barahona; L. Kurth","Bitergia","Proceedings of the 21st International Conference on Evaluation and Assessment in Software Engineering","20170711","2017","","","214","223","<p>During 2015, some members of the Xen Project Advisory Board became worried about the performance of their code review process. The Xen Project is a free, open source software project developing one of the most popular virtualization platforms in the industry. They use a pre-commit peer review process similar to that in the Linux kernel, based on email messages. They had observed a large increase over time in the number of messages related to code review, and were worried about how this could be a signal of problems with their code review process.</p> <p>To address these concerns, we designed and conducted, with their continuous feedback, a detailed analysis focused on finding these problems, if any. During the study, we dealt with the methodological problems of Linux-like code review, and with the deeper issue of finding metrics that could uncover the problems they were worried about. For having a benchmark, we run the same analysis on a similar project, which uses very similar code review practices: the Linux Netdev (Netdev) project. As a result, we learned how in fact the Xen Project had some problems, but at the moment of the analysis those were already under control. We found as well how different the Xen and Netdev projects were behaving with respect to code review performance, despite being so similar from many points of view.</p> <p>In this paper we show the results of both analyses, and propose a comprehensive methodology, fully automated, to study Linux-style code review. We discuss also the problems of getting significant metrics to track improvements or detect problems in this kind of code review.</p>","","Electronic:978-1-4503-4804-1","10.1145/3084226.3084247","","","Code review;Data mining;Software development analytics","","","","","","","","","","","15-16 June 2017","","ACM","ACM Conferences"
