Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Basset: a tool for systematic testing of actor programs,S. Lauterburg; R. K. Karmani; D. Marinov; G. Agha,"University of Illinois at Urbana-Champaign, Urbana, IL, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,363,364,"<p>This paper presents Basset, a tool for systematic testing of JVM-based actor programs. The actor programming model offers a promising approach for developing reliable concurrent and distributed systems. Since the actor model is based on message passing and disallows shared state, it avoids some of the problems inherent in shared-memory programming, e.g., low-level dataraces involving access to shared data. However, actor programs can still have bugs that result from incorrect orders of messages among actors or processing of messages by individual actors. To systematically test an actor program, it is necessary to explore different message delivery schedules that might occur during execution. Basset facilitates such exploration and provides a generic platform that can support actor systems that compile to Java bytecode. Our current implementation of Basset supports testing of programs developed using the ActorFoundry library and the Scala programming language.</p>",,,10.1145/1882291.1882349,,,actors;jpf;scala;state-space exploration,,,,,2,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Synthesis of live behaviour models,N. R. D'Ippolito; V. Braberman; N. Piterman; S. Uchitel,"Imperial College London, London, United Kingdom &#38; Universidad de Buenos Aires, Buenos Aires, Argentina",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,77,86,"<p>We present a novel technique for synthesising behaviour models that works for an expressive subset of liveness properties and conforms to the foundational requirements engineering World/Machine model, dealing explicitly with assumptions on environment behaviour and distinguishing controlled and monitored actions. This is the first technique that conforms to what is considered best practice in requirements specifications: distinguishing prescriptive and descriptive assertions. Most previous attempts at using synthesis of behavioural models were restricted to handling only safety properties. Those that did support liveness were inadequate for synthesis of operational event based models as they did not include the bespoke distinction between system goals and environment assumptions.</p>",,,10.1145/1882291.1882305,,,behavioural modelling;controller synthesis,,,,,11,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
LEAP: lightweight deterministic multi-processor replay of concurrent java programs,J. Huang; P. Liu; C. Zhang,"Hong Kong University of Science and Technology, Hong Kong, Hong Kong",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,207,216,"<p>The technique of deterministic record and replay aims at faithfully reenacting an earlier program execution. For concurrent programs, it is one of the most important techniques for program understanding and debugging. The state of the art deterministic replay techniques face challenging efficiency problems in supporting multi-processor executions due to the unoptimized treatment of shared memory accesses. We propose LEAP: a deterministic record and replay technique that uses a new type of local order w.r.t. the shared memory locations and concurrent threads. Compared to the related work, our technique records much less information without losing the replay determinism. The correctness of our technique is underpinned by formal models and a replay theorem that we have developed in this work. Through our evaluation using both benchmarks and real world applications, we show that LEAP is more than 10x faster than conventional global-order based approaches and, in most cases, 2x to 10x faster than other local-order based approaches. Our recording overhead on the two large open source multi-threaded applications Tomcat and Derby is less than 10%. Moreover, as the evidence of the deterministic replay, LEAP is able to deterministically reproduce 7 out of 8 real bugs in Tomcat and Derby, 13 out of 16 benchmark bugs in IBM ConTest benchmark suite, and 100% of the randomly injected concurrency bugs.</p>",,,10.1145/1882291.1882323,,,concurrency bug reproduction;deterministic replay;multi-processor,,,,,7,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
A learning-based approach for engineering feature-oriented self-adaptive software systems,A. Elkhodary,"George Mason University, Fairfax, VA, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,345,348,,,,10.1145/1882291.1882343,,,feature-orientation;learning;qos analysis;self-adaptation,,,,,0,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
RT-simex: retro-analysis of execution traces,J. DeAntoni; F. Mallet; F. Thomas; G. Reydet; J. P. Babau; C. Mraidha; L. Gauthier; L. Rioux; N. Sordon,"Universit&#233; Nice Sophia Antipolis, Sophia Antipolis, France",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,377,378,"<p>This presentation demonstrates the early results from the French ANR project RT-Simex. RT-Simex proposes a set of tools to analyze parallel embedded code and trace the simulation results back to the initial models from which the code was generated. The whole tool-set relies on standard formats (UML MARTE, Open Trace Format) to ensure a perennial use. The main difficulty is to reconcile different execution traces extracted from codes running concurrently on different unsynchronized platforms. This is achieved through the polychronous logical time model of MARTE.</p>",,,10.1145/1882291.1882357,,,marte;polychronous logical time,,,,,3,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Finding latent performance bugs in systems implementations,C. Killian; K. Nagaraj; S. Pervez; R. Braud; J. W. Anderson; R. Jhala,"Purdue University, West Lafayette, IN, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,17,26,"<p>Robust distributed systems commonly employ high-level recovery mechanisms enabling the system to recover from a wide variety of problematic environmental conditions such as node failures, packet drops and link disconnections. Unfortunately, these recovery mechanisms also effectively mask additional serious design and implementation errors, disguising them as <i>latent performance bugs</i> that severely degrade end-to-end system performance. These bugs typically go unnoticed due to the challenge of distinguishing between a bug and an intermittent environmental condition that must be tolerated by the system. We present techniques that can automatically pinpoint latent performance bugs in systems implementations, in the spirit of recent advances in model checking by systematic state space exploration. The techniques proceed by automating the process of conducting random simulations, identifying performance anomalies, and analyzing anomalous executions to pinpoint the circumstances leading to performance degradation.</p> <p>By focusing our implementation on the MACE toolkit, MACEPC can be used to test our implementations directly, without modification. We have applied MACEPC to five thoroughly tested and trusted distributed systems implementations. MACEPC was able to find significant, previously unknown, long-standing performance bugs in each of the systems, and led to fixes that significantly improved the end-to-end performance of the systems.</p>",,,10.1145/1882291.1882297,,,debugging;distributed systems;mace;macepc;performance,,,,,9,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Developer fluency: achieving true mastery in software projects,M. Zhou; A. Mockus,"Peking University, Beijing, China",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,137,146,"<p>Outsourcing and offshoring lead to a rapid influx of new developers in software projects. That, in turn, manifests in lower productivity and project delays. To address this common problem we study how the developers become fluent in software projects. We found that developer productivity in terms of number of tasks per month increases with project tenure and plateaus within a few months in three small and medium projects and it takes up to 12 months in a large project. When adjusted for the task difficulty, developer productivity did not plateau but continued to increase over the entire three year measurement interval. We also discovered that tasks vary according to their importance(centrality) to a project. The increase in task centrality along four dimensions: customer, system-wide, team, and future impact was approximately linear over the entire period. By studying developer fluency we contribute by determining dimensions along which developer expertise is acquired, finding ways to measure them, and quantifying the trajectories of developer learning.</p>",,,10.1145/1882291.1882313,,,developer fluency;developer learning;productivity;task centrality;task difficulty,,,,,15,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
BERT: a tool for behavioral regression testing,W. Jin; A. Orso; T. Xie,"Georgia Institute of Technology, Atlanta, GA, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,361,362,"<p>During maintenance, software is modified and evolved to enhance its functionality, eliminate faults, and adapt it to changed or new platforms. In this demo, we present BERT, a tool for helping developers identify regression faults that they may have introduced when modifying their code. BERT is based on the concept of behavioral regression testing: given two versions of a program, BERT identifies behavioral differences between the two versions through dynamic analysis, in three steps. First, it generates a large number of test inputs that focus on the changed parts of the code. Second, it runs the generated test inputs on the old and new versions of the code and identifies differences in the tests' behavior. Third, it analyzes the identified differences and presents them to the developers. By focusing on a subset of the code and leveraging differential behavior, BERT can provide developers with more detailed information than traditional regression testing approaches---approaches that rely exclusively on existing test suites, which may be limited in scope and may not adequately test the changes in a program. BERT is implemented as a plug-in for Eclipse, a popular Integrated Development Environment, and is freely available. This demo presents BERT, its underlying technology, and examples of its usage.</p>",,,10.1145/1882291.1882348,,,differential testing;regression testing,,,,,0,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Staged concurrent program analysis,N. Sinha; C. Wang,"NEC Labs America, Princeton, NJ, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,47,56,"<p>Concurrent program verification is challenging because it involves exploring a large number of possible thread interleavings together with complex sequential reasoning. As a result, concurrent program verifiers resort to bi-modal reasoning, which alternates between reasoning over intra-thread (sequential) semantics and inter-thread (concurrent) semantics. Such reasoning often involves repeated intra-thread reasoning for exploring each interleaving (inter-thread reasoning) and leads to inefficiency. In this paper, we present a new two-stage analysis which completely separates intra- and inter-thread reasoning. The first stage uses sequential program semantics to obtain a precise summary of each thread in terms of the global accesses made by the thread. The second stage performs inter-thread reasoning by composing these thread-modular summaries using the notion of sequential consistency. Assertion violations and other concurrency errors are then checked in this composition with the help of an off-the-shelf SMT solver. We have implemented our approach in the FUSION framework for checking concurrent C programs shows that avoiding redundant bi-modal reasoning makes the analysis more scalable.</p>",,,10.1145/1882291.1882301,,,axiomatic composition;interference abstraction;interference skeleton;sequential consistency;smt solvers;staged analysis;thread-modular summarization,,,,,3,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Change-point detection for black-box services,I. Epifani; C. Ghezzi; G. Tamburrelli,"Politecnico di Milano, Milano, Italy",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,227,236,"<p>Modern software systems are increasingly built out of services that are developed, deployed, and operated by independent organizations, which expose them for use by potential clients. Services may be directly invoked by clients. They may also be composed by service integrators, who in turn expose the composite artifact as a new service. Continuous change is typical of this world. Providers may change services and the deployment infrastructure to meet continuously changing requirements and be more competitive. Clients may change their operational profiles. Changes have a severe impact on the quality of services.</p> <p>In this paper we address the problem of identifying changes concerning the non-functional behavior of software services managed by external organizations, and consequently considered as black-box artifacts. We define the concept of <i>change-point</i> and provide a statistical technique aimed at identifying it, given an execution trace produced by client invocations. Change-point detection is key to reasoning about changes, diagnosing their cause, and suitably reacting to their occurrence.</p>",,,10.1145/1882291.1882326,,,bayesian theory;discrete time markov chains;performance;reliability,,,,,5,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Leveraging usage similarity for effective retrieval of examples in code repositories,S. K. Bajracharya; J. Ossher; C. V. Lopes,"University of California, Irvine, Irvine, CA, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,157,166,"<p>Developers often learn to use APIs (Application Programming Interfaces) by looking at existing examples of API usage. Code repositories contain many instances of such usage of APIs. However, conventional information retrieval techniques fail to perform well in retrieving API usage examples from code repositories. This paper presents Structural Semantic Indexing (SSI), a technique to associate words to source code entities based on similarities of API usage. The heuristic behind this technique is that entities (classes, methods, etc.) that show similar uses of APIs are semantically related because they do similar things. We evaluate the effectiveness of SSI in code retrieval by comparing three SSI based retrieval schemes with two conventional baseline schemes. We evaluate the performance of the retrieval schemes by running a set of 20 candidate queries against a repository containing 222,397 source code entities from 346 jars belonging to the Eclipse framework. The results of the evaluation show that SSI is effective in improving the retrieval of examples in code repositories.</p>",,,10.1145/1882291.1882316,,,api usage;code search;software information retrieval;ssi;structural semantic indexing,,,,,25,3,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Combining hardware and software instrumentation to classify program executions,C. Yilmaz; A. Porter,"Sabanci University, Tuzla, Istanbul, Turkey",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,67,76,"<p>Several research efforts have studied ways to infer properties of software systems from program spectra gathered from the running systems, usually with software-level instrumentation. One specific application of this general approach, which is the focus of this paper, is distinguishing failed executions from successful executions. While existing efforts appear to produce accurate classifications, detailed understanding of their costs and potential cost-benefit tradeoffs is lacking. In this work, we present a hybrid instrumentation approach which uses hardware performance counters to gather program spectra at very low cost. This underlying data is further augmented with data captured by minimal amounts of software-level instrumentation. We also evaluate this hybrid approach by comparing it to other existing approaches. We conclude that these hybrid spectra can reliably distinguish failed executions from successful executions at a fraction of the runtime overhead cost of using software-only spectra.</p>",,,10.1145/1882291.1882304,,,fault detection;hardware performance counters;software quality assurance,,,,,5,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Golden implementation driven software debugging,A. Banerjee; A. Roychoudhury; J. A. Harlie; Z. Liang,"National University of Singapore, Singapore, Singapore",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,177,186,"<p>The presence of a functionally correct golden implementation has a significant advantage in the software development life cycle. Such a golden implementation is exploited for software development in several domains, including embedded software --- a low resource-consuming version of the golden implementation. The golden implementation gives the functionality that the program is supposed to implement, and is used as a guide during the software development process. In this paper, we investigate the possibility of using the golden implementation as a reference model in software debugging. We perform a substantial case study involving the Busybox embedded Linux utilities while treating the GNU Core Utilities as the golden or reference implementation. Our debugging method consists of dynamic slicing with respect to the observable error in both the implementations (the golden implementation as well as the buggy software). During dynamic slicing we also perform a step-by-step weakest precondition computation of the observable error with respect to the statements in the dynamic slice. The formulae computed as weakest pre-condition in the two implementations are then compared to accurately locate the root cause of a given observable error. Experimental results obtained from Busybox suggest that our method performs well in practice and is able to pinpoint all the bugs recently published in [8] that could be reproduced on Busybox version 1.4.2. The bug report produced by our approach is concise and pinpoints the program locations inside the Busybox source that contribute to the difference in behavior.</p>",,,10.1145/1882291.1882319,,,embedded linux;software evolution;symbolic execution,,,,,11,1,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Language-based replay via data flow cut,M. Wu; F. Long; X. Wang; Z. Xu; H. Lin; X. Liu; Z. Guo; H. Guo; L. Zhou; Z. Zhang,"Microsoft Research Asia, Beijing, China",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,197,206,"<p>A replay tool aiming to reproduce a program's execution interposes itself at an appropriate replay interface between the program and the environment. During recording, it logs all non-deterministic side effects passing through the interface from the environment and feeds them back during replay. The replay interface is critical for correctness and recording overhead of replay tools.</p> <p>iTarget is a novel replay tool that uses programming language techniques to automatically seek a replay interface that both ensures correctness and minimizes recording overhead. It performs static analysis to extract data flows, estimates their recording costs via dynamic profiling, computes an optimal replay interface that minimizes the recording overhead, and instruments the program accordingly for interposition. Experimental results show that iTarget can successfully replay complex C programs, including Apache web server and Berkeley DB, and that it can reduce the log size by up to two orders of magnitude and slowdown by up to 50%.</p>",,,10.1145/1882291.1882322,,,data flow;graph cut;instrumentation;replay,,,,,0,1,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
From requirements to partial behavior models: an iterative approach to incremental specification refinement,I. Krka,"University of Southern California, Los Angeles, CA, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,341,344,"<p>In this thesis, I will improve the state-of-the-art for capturing, analyzing, and refining functional requirements by providing support for synthesizing, analyzing, and refining Modal Transition Systems.</p>",,,10.1145/1882291.1882342,,,elicitation;modal transition systems;refinement;scenarios;synthesis,,,,,0,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Building and using pluggable type systems,M. D. Ernst; M. Ali,"University of Washington, Seattle, WA, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,375,376,"<p>Are you a practitioner who is tired of null pointer exceptions, unintended side effects, SQL injections, concurrency errors, mistaken equality tests, and other run-time errors that appear during testing or in the field? A pluggable type system can guarantee the absence of these errors, and many more.</p> <p>Are you a researcher who wants to be able to quickly and easily implement a type system, giving you the ability to evaluate it in practice and to field it? You need a framework that supports these essential activities.</p> <p>This demo is aimed at both audiences. It describes both the theory of pluggable types and also the practice of implementing them. A simple pluggable type-checker can be implemented in 2 minutes, and can be enhanced thereafter. A type checkers is easy to create, easy for programmers to use, and effective in finding real, important bugs.</p> <p>The demo uses the Checker Framework, which enables you to create pluggable type systems for Java, while your code remains backward-compatible with all versions of Java. The ideas translate to other languages and toolsets. The tools are freely available at http://types.cs.washington.edu/checker-framework/.</p>",,,10.1145/1882291.1882356,,,checker framework;java;pluggable type-system;type annotation;type checking;user-defined type system,,,,,0,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
FUSION: a framework for engineering self-tuning self-adaptive software systems,A. Elkhodary; N. Esfahani; S. Malek,"George Mason University, Fairfax, VA, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,7,16,"<p>Self-adaptive software systems are capable of adjusting their behavior at run-time to achieve certain objectives. Such systems typically employ analytical models specified at design-time to assess their characteristics at run-time and make the appropriate adaptation decisions. However, prior to system's deployment, engineers often cannot foresee the changes in the environment, requirements, and system's operational profile. Therefore, any analytical model used in this setting relies on underlying assumptions that if not held at run-time make the analysis and hence the adaptation decisions inaccurate. We present and evaluate FeatUre-oriented Self-adaptatION (FUSION) framework, which aims to solve this problem by learning the impact of adaptation decisions on the system's goals. The framework (1) allows for automatic online fine-tuning of the adaptation logic to unanticipated conditions, (2) reduces the upfront effort required for building such systems, and (3) makes the run-time analysis of such systems very efficient.</p>",,,10.1145/1882291.1882296,,,feature-orientation;learning;qos analysis;self-adaptation,,,,,25,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
An effective dynamic analysis for detecting generalized deadlocks,P. Joshi; M. Naik; K. Sen; D. Gay,"University of California, Berkeley, Berkeley, CA, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,327,336,"<p>We present an effective dynamic analysis for finding a broad class of deadlocks, including the well-studied lock-only deadlocks as well as the less-studied, but no less widespread or insidious, deadlocks involving condition variables. Our analysis consists of two stages. In the first stage, our analysis observes a multi-threaded program execution and generates a simple multi-threaded program, called a <i>trace program</i>, that only records operations observed during the execution that are deemed relevant to finding deadlocks. Such operations include lock acquire and release, wait and notify, thread start and join, and change of values of user-identified synchronization predicates associated with condition variables. In the second stage, our analysis uses an off-the-shelf model checker to explore all possible thread interleavings of the trace program and check if any of them deadlocks. A key advantage of our technique is that it discards most of the program logic which usually causes state-space explosion in model checking, and retains only the relevant synchronization logic in the trace program, which is sufficient for finding deadlocks. We have implemented our analysis for Java, and have applied it to twelve real-world multi-threaded Java programs. Our analysis is effective in practice, finding thirteen previously known as well as four new deadlocks.</p>",,,10.1145/1882291.1882339,,,concurrency;deadlock detection;dynamic program analysis,,,,,8,1,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
