Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,page_num
CoMoGen: An Approach to Locate Relevant Task Context by Combining Search and Navigation,K. Kevic; T. Fritz; D. C. Shepherd,"Dept. of Inf., Univ. of Zurich, Zurich, Switzerland",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,61,70,"Developers spend a substantial amount of time searching and navigating source code to locate the relevant places for performing a change task. While the searching and navigating are highly intertwined and related, most current approaches focus either on search or on navigation support for developers, keeping the two distinct. In this paper, we present an approach called CoMoGen that combines search and navigation by expanding, ranking and visualizing search results with navigation context. In an experimental analysis we found that our approach is able to generate small task-relevant context models that locates more relevant search results than state-of-the-art and state-of-the-practice search approaches. A small, preliminary user study with ten participants further yields promising preliminary findings that CoMoGen supports developers in better understanding and assessing the relevance of search results and in reducing navigation steps.",1063-6773;10636773,Electronic:978-1-4799-6146-7; POD:978-1-4799-6147-4,10.1109/ICSME.2014.28,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976072,,Conferences;Navigation;Software maintenance;Visualization,information retrieval;search engines,CoMoGen;relevant task context;search and navigation;task-relevant context model,,0,,53,,,,Sept. 29 2014-Oct. 3 2014,,IEEE,IEEE Conferences,,9
Compositional Vector Space Models for Improved Bug Localization,S. Wang; D. Lo; J. Lawall,"Sch. of Inf. Syst., Singapore Manage. Univ., Singapore, Singapore",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,171,180,"Software developers and maintainers often need to locate code units responsible for a particular bug. A number of Information Retrieval (IR) techniques have been proposed to map natural language bug descriptions to the associated code units. The vector space model (VSM) with the standard tf-idf weighting scheme (VSM<sub>natural</sub>), has been shown to outperform nine other state-of-the-art IR techniques. However, there are multiple VSM variants with different weighting schemes, and their relative performance differs for different software systems. Based on this observation, we propose to compose various VSM variants, modelling their composition as an optimization problem. We propose a genetic algorithm (GA) based approach to explore the space of possible compositions and output a heuristically near-optimal composite model. We have evaluated our approach against several baselines on thousands of bug reports from AspectJ, Eclipse, and SWT. On average, our approach (VSM <sub>composite</sub>) improves hit at 5 (Hit@5), mean average precision (MAP), and mean reciprocal rank (MRR) scores of VSM<sub>natural</sub> by 18.4%, 20.6%, and 10.5% respectively. We also integrate our compositional model with AmaLgam, which is a state-of-art bug localization technique. The resultant model named AmaLgam<sub>composite</sub> on average can improve Hit@5, MAP, and MRR scores of AmaLgam by 8.0%, 14.4% and 6.5% respectively.",1063-6773;10636773,Electronic:978-1-4799-6146-7; POD:978-1-4799-6147-4,10.1109/ICSME.2014.39,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976083,bug localization;composite model;genetic algorithm;information retrieval,Biological cells;Genetic algorithms;Sociology;Standards;Statistics;Training;Vectors,genetic algorithms;information retrieval;natural language processing;program debugging;software maintenance;vectors,AmaLgam;AspectJ;Eclipse;Hit@5;IR techniques;MAP;MRR scores;SWT;VSM variants;VSM<sub>natural</sub>;bug reports;code units;compositional model;compositional vector space model;genetic algorithm based approach;improved bug localization;information retrieval techniques;natural language bug descriptions;near-optimal composite model;optimization problem;software developers;software maintainers;software systems;standard tf-idf weighting scheme;vector space model,,12,,46,,,,Sept. 29 2014-Oct. 3 2014,,IEEE,IEEE Conferences,,9
Combining Text Mining and Data Mining for Bug Report Classification,Y. Zhou; Y. Tong; R. Gu; H. Gall,"Coll. of Comput. Sci., Nanjing Univ. of Aeronaut. & Astronaut., Nanjing, China",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,311,320,"Misclassification of bug reports inevitably sacrifices the performance of bug prediction models. Manual examinations can help reduce the noise but bring a heavy burden for developers instead. In this paper, we propose a hybrid approach by combining both text mining and data mining techniques of bug report data to automate the prediction process. The first stage leverages text mining techniques to analyze the summary parts of bug reports and classifies them into three levels of probability. The extracted features and some other structured features of bug reports are then fed into the machine learner in the second stage. Data grafting techniques are employed to bridge the two stages. Comparative experiments with previous studies on the same data -- three large-scale open source projects -- consistently achieve a reasonable enhancement (from 77.4% to 81.7%, 73.9% to 80.2% and 87.4% to 93.7%, respectively) over their best results in terms of overall performance. Additional comparative empirical experiments on other two popular open source repositories confirm the findings and demonstrate the benefits of our approach.",1063-6773;10636773,Electronic:978-1-4799-6146-7; POD:978-1-4799-6147-4,10.1109/ICSME.2014.53,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976097,,Bayes methods;Feature extraction;Predictive models;Software;Text mining;Training,data mining;learning (artificial intelligence);program debugging;public domain software;text analysis,bug prediction models;bug report classification;data grafting techniques;data mining techniques;hybrid approach;large-scale open source projects;machine learner;open source repositories;summary parts;text mining techniques,,8,,44,,,,Sept. 29 2014-Oct. 3 2014,,IEEE,IEEE Conferences,,9
Boosting Bug-Report-Oriented Fault Localization with Segmentation and Stack-Trace Analysis,C. P. Wong; Y. Xiong; H. Zhang; D. Hao; L. Zhang; H. Mei,"Key Lab. of High Confidence Software Technol., Peking Univ., Beijing, China",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,181,190,"To deal with post-release bugs, many software projects set up public bug repositories for users all over the world to report bugs that they have encountered. Recently, researchers have proposed various information retrieval based approaches to localizing faults based on bug reports. In these approaches, source files are processed as single units, where noise in large files may affect the accuracy of fault localization. Furthermore, bug reports often contain stack-trace information, but existing approaches often treat this information as plain text. In this paper, we propose to use segmentation and stack-trace analysis to improve the performance of bug localization. Specifically, given a bug report, we divide each source code file into a series of segments and use the segment most similar to the bug report to represent the file. We also analyze the bug report to identify possible faulty files in a stack trace and favor these files in our retrieval. According to our empirical results, our approach is able to significantly improve Bug Locator, a representative fault localization approach, on all the three software projects (i.e., Eclipse, AspectJ, and SWT) used in our empirical evaluation. Furthermore, segmentation and stack-trace analysis are complementary to each other for boosting the performance of bug-report-oriented fault localization.",1063-6773;10636773,Electronic:978-1-4799-6146-7; POD:978-1-4799-6147-4,10.1109/ICSME.2014.40,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976084,bug report;fault localization;feature location;information retrieval,Computer bugs;Information retrieval;Java;Logistics;Measurement;Noise;Software,fault diagnosis;information retrieval;program debugging;program diagnostics;source code (software),AspectJ;Eclipse;SWT;boosting bug-report-oriented fault localization;bug localization;bug locator;bug reportq;faulty files;information retrieval;post-release bugs;public bug repository;representative fault localization approach;software projects;source code file;source files;stack-trace analysis;stack-trace information,,10,,46,,,,Sept. 29 2014-Oct. 3 2014,,IEEE,IEEE Conferences,,9
Evaluating Modern Clone Detection Tools,J. Svajlenko; C. K. Roy,"Dept. of Comput. Sci., Univ. of Saskatchewan, Saskatoon, SK, Canada",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,321,330,"Many clone detection tools and techniques have been introduced in the literature, and these tools have been used to manage clones and study their effects on software maintenance and evolution. However, the performance of these modern tools is not well known, especially recall. In this paper, we evaluate and compare the recall of eleven modern clone detection tools using four benchmark frameworks, including: (1) Bellon's Framework, (2) our modification to Bellon's Framework to improve the accuracy of its clone matching metrics, (3) Murakamki et al.'s extension of Bellon's Framework which adds type 3 gap awareness to the framework, and (4) our Mutation and Injection Framework. Bellon's Framework uses a curated corpus of manually validated clones detected by tools contemporary to 2002. In contrast, our Mutation and Injection Framework synthesizes a corpus of artificial clones using a cloning taxonomy produced in 2009. While still very popular in the clone community, there is some concern that Bellon's corpus may not be accurate for modern clone detection tools. We investigate the accuracy of the frameworks by (1) checking for anomalies in their results, (2) checking for agreement between the frameworks, and (3) checking for agreement with our expectations of these tools. Our expectations are researched and flexible. While expectations may contain inaccuracies, they are valuable for identifying possible inaccuracies in a benchmark. We find anomalies in the results of Bellon's Framework, and disagreement with both our expectations and the Mutation Framework. We conclude that Bellon's Framework may not be accurate for modern tools, and that an update of its corpus with clones detected by the modern tools is warranted. The results of the Mutation Framework agree with our expectations in most cases. We suggest that it is a good solution for evaluating modern tools.",1063-6773;10636773,Electronic:978-1-4799-6146-7; POD:978-1-4799-6147-4,10.1109/ICSME.2014.54,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976098,bellon's benchmark;benchmark;clone detection;modern;mutation and injection framework;precision;recall,Accuracy;Benchmark testing;Cloning;Java;Manuals;Measurement;Software systems,data mining;program testing;software maintenance;source code (software),artificial clones;clone community;clone detection tools;clone matching metrics;software maintenance,,19,,22,,,,Sept. 29 2014-Oct. 3 2014,,IEEE,IEEE Conferences,,9
Learning to Combine Multiple Ranking Metrics for Fault Localization,J. Xuan; M. Monperrus,"INRIA Lille - Nord Eur., Lille, France",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,191,200,"Fault localization is an inevitable step in software debugging. Spectrum-based fault localization consists in computing a ranking metric on execution traces to identify faulty source code. Existing empirical studies on fault localization show that there is no optimal ranking metric for all faults in practice. In this paper, we propose Multric, a learning-based approach to combining multiple ranking metrics for effective fault localization. In Multric, a suspiciousness score of a program entity is a combination of existing ranking metrics. Multric consists two major phases: learning and ranking. Based on training faults, Multric builds a ranking model by learning from pairs of faulty and non-faulty source code elements. When a new fault appears, Multric computes the final ranking with the learned model. Experiments are conducted on 5386 seeded faults in ten open-source Java programs. We empirically compare Multric against four widely-studied metrics and three recently-proposed one. Our experimental results show that Multric localizes faults more effectively than state-of-art metrics, such as Tarantula, Ochiai, and Ample.",1063-6773;10636773,Electronic:978-1-4799-6146-7; POD:978-1-4799-6147-4,10.1109/ICSME.2014.41,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976085,Fault localization;learning to rank;multiple ranking metrics,Computational modeling;Debugging;Java;Measurement;Object oriented modeling;Training;Training data,Java;learning (artificial intelligence);program debugging;public domain software;software fault tolerance;source code (software),Multric;faulty source code identification;learning-based approach;multiple ranking metrics;nonfaulty source code elements;open-source Java programs;program entity;software debugging;spectrum-based fault localization;training faults,,21,,35,,,,Sept. 29 2014-Oct. 3 2014,,IEEE,IEEE Conferences,,9
Pinso: Precise Isolation of Concurrency Bugs via Delta Triaging,B. Liu; Z. Qi; B. Wang; R. Ma,"Dept. of Comput. Sci. & Eng., Shanghai Jiao Tong Univ., Shanghai, China",2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,201,210,"Concurrent programs are known to be difficult to test and maintain. These programs often fail because of concurrency bugs caused by non-deterministic interleavings among shared memory accesses. Even though a concurrency bug can be detected, it is still hard to isolate the root cause of the bug, due to the challenge in understanding the complex thread interleavings or schedules. In this paper, we propose a practical and precise isolation technique for concurrent bugs called Pinso that seeks to exploit the non-deterministic nature of concurrency bugs and accurately find the root causes of program error, to further help developers maintain concurrent programs. Pinso profiles runtime inter-thread interleavings based on a set of summarized memory access patterns, and then, isolates suspicious interleaving patterns in the triaging phase. Using a filtration-oriented scheduler, Pinso effectively eliminates false positives that are irrelevant to the bug. We evaluate Pinso with 11 real-world concurrency bugs, including single- and multi-variable violation, from sever/desktop concurrent applications (MySQL, Apache, and several others). Experiments indicate that our tool accurately isolates the root causes of all the bugs.",1063-6773;10636773,Electronic:978-1-4799-6146-7; POD:978-1-4799-6147-4,10.1109/ICSME.2014.42,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976086,Concurrency bug;Software testing and debugging,Computer bugs;Concurrent computing;History;Instruction sets;Schedules;Synchronization;Testing,concurrency control;program debugging;program testing;scheduling;shared memory systems,Pinso profiles;complex thread interleavings;concurrency bug precise isolation technique;concurrent programs;delta triaging;filtration-oriented scheduler;inter-thread interleavings;memory access patterns;multivariable violation;program error;shared memory accesses;single-variable violation;software testing,,1,,37,,,,Sept. 29 2014-Oct. 3 2014,,IEEE,IEEE Conferences,,9
Quantifying the Encapsulation of Implemented Software Architectures,E. Bouwers; A. v. Deursen; J. Visser,,2014 IEEE International Conference on Software Maintenance and Evolution,20141206,2014,,,211,220,"Applying encapsulation techniques lead to software systems in which the majority of changes are localized, which reduces maintenance and testing effort. In the evaluation of implemented software architectures, metrics can be used to provide an indication of the degree of encapsulation within a system and to serve as a basis for an informed discussion about how well-suited the system is for expected changes. Current literature shows that over 40 different architecture-level metrics are available to quantify the encapsulation, but empirical validation of these metrics against changes in a system is not available. In this paper we investigate twelve existing architecture metrics for their ability to quantify the encapsulation of an implemented architecture. We correlate the values of the metrics against the ratio of local change over time using the history of ten open-source systems. In the design of our experiment we ensure that the values of the existing metrics are representative for the time period which is analyzed. Our study shows that one of the suitable architecture metrics can be considered a valid indicator for the degree of encapsulation of systems. We discuss the implications of our findings both for the research into architecture-level metrics and for software architecture evaluations in industry.",1063-6773;10636773,Electronic:978-1-4799-6146-7; POD:978-1-4799-6147-4,10.1109/ICSME.2014.43,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6976087,,Charge coupled devices;Computer architecture;Correlation;Encapsulation;Measurement;Software;Software architecture,program testing;public domain software;software architecture;software maintenance;software metrics,architecture-level metrics;implemented software architecture encapsulation;maintenance effort;open-source systems;software architecture evaluations;software systems;testing effort,,1,,27,,,,Sept. 29 2014-Oct. 3 2014,,IEEE,IEEE Conferences,,9
An empirical study of bugs in test code,A. Vahabzadeh; A. M. Fard; A. Mesbah,"University of British Columbia, Vancouver, Canada",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,101,110,"Testing aims at detecting (regression) bugs in production code. However, testing code is just as likely to contain bugs as the code it tests. Buggy test cases can silently miss bugs in the production code or loudly ring false alarms when the production code is correct. We present the first empirical study of bugs in test code to characterize their prevalence and root cause categories. We mine the bug repositories and version control systems of 211 Apache Software Foundation (ASF) projects and find 5,556 test-related bug reports. We (1) compare properties of test bugs with production bugs, such as active time and fixing effort needed, and (2) qualitatively study 443 randomly sampled test bug reports in detail and categorize them based on their impact and root causes. Our results show that (1) around half of all the projects had bugs in their test code; (2) the majority of test bugs are false alarms, i.e., test fails while the production code is correct, while a minority of these bugs result in silent horrors, i.e., test passes while the production code is incorrect; (3) incorrect and missing assertions are the dominant root cause of silent horror bugs; (4) semantic (25%), flaky (21%), environment-related (18%) bugs are the dominant root cause categories of false alarms; (5) the majority of false alarm bugs happen in the exercise portion of the tests, and (6) developers contribute more actively to fixing test bugs and test bugs are fixed sooner compared to production bugs. In addition, we evaluate whether existing bug detection tools can detect bugs in test code.",,Electronic:978-1-4673-7532-0; USB:978-1-4673-7531-3,10.1109/ICSM.2015.7332456,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332456,Bugs;empirical study;test code,Computer bugs;Control systems;Data collection;Data mining;Production;Software;Testing,configuration management;program debugging;program testing,ASF projects;Apache Software Foundation projects;bug detection tools;bug repositories;false alarm bugs;production bugs;production code;randomly sampled test bug reports;root cause categories;silent horror bugs;test code bugs;test-related bug reports;version control systems,,6,,33,,,,Sept. 29 2015-Oct. 1 2015,,IEEE,IEEE Conferences,,9
Deterministic dynamic race detection across program versions,S. V. Poluri; M. K. Ramanathan,"Indian Institute of Science, India",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,181,190,"Dynamic race detectors operate by analyzing execution traces of programs to detect races in multithreaded programs. As the thread interleavings influence these traces, the sets of races detected across multiple runs of the detector can vary. This non-determinism without any change in program source and input can reduce programmer confidence in using the detector. From an organizational perspective, a defect needs to be reported consistently until it is fixed. Non-determinism complicates the work flow and the problem is further exacerbated with modifications to the program.",,Electronic:978-1-4673-7532-0; USB:978-1-4673-7531-3,10.1109/ICSM.2015.7332464,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332464,,Benchmark testing;Detectors;Instruction sets;Performance analysis;Schedules;Synchronization;Transforms,Java;multi-threading;program diagnostics;public domain software;shared memory systems,DJIT+;FastTrack;STABLER;deterministic dynamic race detection;open-source multithreaded Java program;program source;program version;shared memory accesses,,,,46,,,,Sept. 29 2015-Oct. 1 2015,,IEEE,IEEE Conferences,,9
GreenAdvisor: A tool for analyzing the impact of software evolution on energy consumption,K. Aggarwal; A. Hindle; E. Stroulia,"Department of Computing Science, University of Alberta, Edmonton, Canada",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,311,320,"Change-impact analysis, namely _巾identifying the potential consequences of a change_享 is an important and well studied problem in software evolution. Any change may potentially affect an application's behaviour, performance, and energy consumption profile. Our previous work demonstrated that changes to the system-call profile of an application correlated with changes to the application's energy-consumption profile. This paper evaluates and describes GreenAdvisor, a first of its kind tool that systematically records and analyzes an application's system calls to predict whether the energy-consumption profile of an application has changed. The GreenAdvisor tool was distributed to numerous software teams, whose members were surveyed about their experience using GreenAdvisor while developing Android applications to examine the energy-consumption impact of selected commits from the teams' projects. GreenAdvisor was evaluated against commits of these teams' projects. The two studies confirm the usefulness of our tool in assisting developers analyze and understand the energy-consumption profile changes of a new version. Based on our study findings, we constructed an improved prediction model to forecast the direction of the change, when a change in the energy-consumption profile is anticipated. This work can potentially be extremely useful to developers who currently have no similar tools.",,Electronic:978-1-4673-7532-0; USB:978-1-4673-7531-3,10.1109/ICSM.2015.7332477,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332477,Software energy consumption;application software;energy efficiency;software tools,Data mining;Decision making;Energy consumption;Energy measurement;Hardware;Libraries;Software,energy consumption;power aware computing;software maintenance,Android applications;GreenAdvisor tool;application system calls;commits;energy-consumption impact;energy-consumption profile changes;software evolution,,3,,26,,,,Sept. 29 2015-Oct. 1 2015,,IEEE,IEEE Conferences,,9
A decision support system to refactor class cycles,T. D. Oyetoyan; D. S. Cruzes; C. Thurmann-Nielsen,"Computer and Information Science, Norwegian University of Science and Technology, Trondheim, Norway",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,231,240,"Many studies show that real-world systems are riddled with large dependency cycles among software classes. Dependency cycles are claimed to affect quality factors such as testability, extensibility, modifiability, and reusability. Recent studies reveal that most defects are concentrated in classes that are in and near cycles. In this paper, we (1) propose a new metric: IRCRSS based on the Class Reachability Set Size (CRSS) to identify the reduction ratio between the CRSS of a class and its interfaces, and (2) presents a cycle-breaking decision support system (CB-DSS) that implements existing design approaches in combination with class edge contextual data. Evaluations of multiple systems show that (1) the IRCRSS metric can be used to identify fewer classes as candidates for breaking large cycles, thus reducing refactoring effort, and (2) the CB-DSS can assist software engineers to plan restructuring of classes involved in complex dependency cycles.",,Electronic:978-1-4673-7532-0; USB:978-1-4673-7531-3,10.1109/ICSM.2015.7332469,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332469,CRSS;Dependency cycle;decision support system;refactoring;software quality,Couplings;Decision support systems;Measurement;Software quality;Software systems;Testing,decision support systems;software libraries;software maintenance,CB-DSS;IRCRSS metric;class edge contextual data;class reachability set size;cycle-breaking decision support system;software class cycle refactoring,,2,,37,,,,Sept. 29 2015-Oct. 1 2015,,IEEE,IEEE Conferences,,9
Impact assessment for vulnerabilities in open-source software libraries,H. Plate; S. E. Ponta; A. Sabetta,"SAP Labs France, Mougins, France",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,411,420,"Software applications integrate more and more open-source software (OSS) to benefit from code reuse. As a drawback, each vulnerability discovered in bundled OSS may potentially affect the application that includes it. Upon the disclosure of every new vulnerability, the application vendor has to assess whether such vulnerability is exploitable in the particular usage context of the applications, and needs to determine whether customers require an urgent patch containing a non-vulnerable version of the OSS. Unfortunately, current decision making relies mostly on natural-language vulnerability descriptions and expert knowledge, and is therefore difficult, time-consuming, and error-prone. This paper proposes a novel approach to support the impact assessment based on the analysis of code changes introduced by security fixes. We describe our approach using an illustrative example and perform a comparison with both proprietary and open-source state-of-the-art solutions. Finally we report on our experience with a sample application and two industrial development projects.",,Electronic:978-1-4673-7532-0; USB:978-1-4673-7531-3,10.1109/ICSM.2015.7332492,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332492,,Engines;Java;Libraries;Open source software;Runtime;Security,decision making;public domain software;software libraries,OSS;decision making;natural-language vulnerability description;open-source software library,,2,,6,,,,Sept. 29 2015-Oct. 1 2015,,IEEE,IEEE Conferences,,9
A comparative study on the bug-proneness of different types of code clones,M. Mondal; C. K. Roy; K. A. Schneider,"Department of Computer Science, University of Saskatchewan, Canada",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,91,100,"Code clones are defined to be the exactly or nearly similar code fragments in a software system's code-base. The existing clone related studies reveal that code clones are likely to introduce bugs and inconsistencies in the code-base. However, although there are different types of clones, it is still unknown which types of clones have a higher likeliness of introducing bugs to the software systems and so, should be considered more important for managing with techniques such as refactoring or tracking. With this focus, we performed a study that compared the bug-proneness of the major clone-types: Type 1, Type 2, and Type 3. According to our experimental results on thousands of revisions of seven diverse subject systems, Type 3 clones exhibit the highest bug-proneness among the three clone-types. The bug-proneness of Type 1 clones is the lowest. Also, Type 3 clones have the highest likeliness of being co-changed consistently while experiencing bug-fixing changes. Moreover, the Type 3 clones that experience bug-fixes have a higher possibility of evolving following a Similarity Preserving Change Pattern (SPCP) compared to the bug-fix clones of the other two clone-types. From the experimental results it is clear that Type 3 clones should be given a higher priority than the other two clone-types when making clone management decisions. We believe that our study provides useful implications for ranking clones for refactoring and tracking.",,Electronic:978-1-4673-7532-0; USB:978-1-4673-7531-3,10.1109/ICSM.2015.7332455,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332455,,Cloning;Computer bugs;Java;Maintenance engineering;Software systems;Terminology,decision making;program debugging;software maintenance;source code (software),SPCP;bug-fixing change;bug-proneness;clone management decision making;clone ranking;code clones;code fragments;refactoring;similarity preserving change pattern;software system code-base;type 1 clone;type 2 clone;type 3 clone,,7,,54,,,,Sept. 29 2015-Oct. 1 2015,,IEEE,IEEE Conferences,,9
Practical and accurate pinpointing of configuration errors using static analysis,Z. Dong; A. Andrzejak; K. Shao,"Institute of Computer Science, Heidelberg University, Germany",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,171,180,"Software misconfigurations are responsible for a substantial part of today's system failures, causing about one-quarter of all customer-reported issues. Identifying their root causes can be costly in terms of time and human resources. We present an approach to automatically pinpoint such defects without error reproduction. It uses static analysis to infer the correlation degree between each configuration option and program sites affected by an exception. The only run-time information required by our approach is the stack trace of a failure. This is an essential advantage compared to existing approaches which require to reproduce errors or to provide testing oracles. We evaluate our approach on 29 errors from 4 configurable software programs, namely JChord, Randoop, Hadoop, and Hbase. Our approach can successfully diagnose 27 out of 29 errors. For 20 errors, the failure-inducing configuration option is ranked first.",,Electronic:978-1-4673-7532-0; USB:978-1-4673-7531-3,10.1109/ICSM.2015.7332463,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332463,Automated debugging;Configuration errors;Static analysis,Accuracy;Computer crashes;Computer science;Correlation;Debugging;Indexes;Software,program diagnostics;program testing;system recovery,Hadoop;Hbase;JChord;Randoop;configuration error pinpointing;correlation degree;failure stack trace;failure-inducing configuration option;program sites;software misconfiguration;static analysis;system failures;testing oracles,,4,,38,,,,Sept. 29 2015-Oct. 1 2015,,IEEE,IEEE Conferences,,9
What are the characteristics of high-rated apps? A case study on free Android Applications,Y. Tian; M. Nagappan; D. Lo; A. E. Hassan,"Singapore Management University, Singapore",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,301,310,"The tremendous rate of growth in the mobile app market over the past few years has attracted many developers to build mobile apps. However, while there is no shortage of stories of how lone developers have made great fortunes from their apps, the majority of developers are struggling to break even. For those struggling developers, knowing the _巾DNA_享 (i.e., characteristics) of high-rated apps is the first step towards successful development and evolution of their apps. In this paper, we investigate 28 factors along eight dimensions to understand how high-rated apps are different from low-rated apps. We also investigate what are the most influential factors by applying a random-forest classifier to identify high-rated apps. Through a case study on 1,492 high-rated and low-rated free apps mined from the Google Play store, we find that high-rated apps are statistically significantly different in 17 out of the 28 factors that we considered. Our experiment also shows that the size of an app, the number of promotional images that the app displays on its web store page, and the target SDK version of an app are the most influential factors.",,Electronic:978-1-4673-7532-0; USB:978-1-4673-7531-3,10.1109/ICSM.2015.7332476,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332476,,Androids;Complexity theory;DNA;Humanoid robots;Libraries;Measurement;Mobile communication,mobile computing;pattern classification,DNA;Google Play store;SDK app version;Web store page;app size;free Android applications;high-rated apps characteristics;low-rated apps;mobile app market;promotional image;random-forest classifier,,13,,48,,,,Sept. 29 2015-Oct. 1 2015,,IEEE,IEEE Conferences,,9
Uncovering dependence clusters and linchpin functions,D. Binkley; 吹. Besz姓des; S. Islam; J. J錐sz; B. Vancsics,"Loyola University Maryland, Baltimore, USA",2015 IEEE International Conference on Software Maintenance and Evolution (ICSME),20151123,2015,,,141,150,"Dependence clusters are (maximal) collections of mutually dependent source code entities according to some dependence relation. Their presence in software complicates many maintenance activities including testing, refactoring, and feature extraction. Despite several studies finding them common in production code, their formation, identification, and overall structure are not well understood, partly because of challenges in approximating true dependences between program entities. Previous research has considered two approximate dependence relations: a fine-grained statement-level relation using control and data dependences from a program's System Dependence Graph and a coarser relation based on function-level control-flow reachability. In principal, the first is more expensive and more precise than the second. Using a collection of twenty programs, we present an empirical investigation of the clusters identified by these two approaches. In support of the analysis, we consider a hybrid cluster type that works at the coarser function-level but is based on the higher-precision statement-level dependences. The three types of clusters are compared based on their slice sets using two clustering metrics. We also perform extensive analysis of the programs to identify linchpin functions - functions primarily responsible for holding a cluster together. Results include evidence that the less expensive, coarser approaches can often be used as effective proxies for the more expensive, finer-grained approaches. Finally, the linchpin analysis shows that linchpin functions can be effectively and automatically identified.",,Electronic:978-1-4673-7532-0; USB:978-1-4673-7531-3,10.1109/ICSM.2015.7332460,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332460,,Complexity theory;Flow graphs;Maintenance engineering;Measurement;Software maintenance;Testing,feature extraction;program testing;software maintenance;source code (software),coarser function-level;feature extraction;fine-grained statement-level relation;function-level control-flow reachability;linchpin function;program entity;software refactoring;software testing;source code entity;system dependence graph,,,,33,,,,Sept. 29 2015-Oct. 1 2015,,IEEE,IEEE Conferences,,9
